                   0;              5529600 bytes;    17689566.000 ns;         298.110 MiB/s
                   1;              5529600 bytes;    17742063.000 ns;         297.228 MiB/s
                   2;              5529600 bytes;    16366203.000 ns;         322.215 MiB/s
                   3;              5529600 bytes;    17372153.000 ns;         303.557 MiB/s
                   4;              5529600 bytes;    16592335.000 ns;         317.824 MiB/s
                   5;              5529600 bytes;    16655259.000 ns;         316.623 MiB/s
                   6;              5529600 bytes;    21054203.000 ns;         250.470 MiB/s
                   7;              5529600 bytes;    16575679.000 ns;         318.143 MiB/s
                   8;              5529600 bytes;    17790713.000 ns;         296.415 MiB/s
                   9;              5529600 bytes;    16711496.000 ns;         315.557 MiB/s
                  10;              5529600 bytes;    17555009.000 ns;         300.395 MiB/s
                  11;              5529600 bytes;    17313639.000 ns;         304.583 MiB/s
                  12;              5529600 bytes;    16369727.000 ns;         322.146 MiB/s
                  13;              5529600 bytes;    17094254.000 ns;         308.492 MiB/s
                  14;              5529600 bytes;    18118325.000 ns;         291.055 MiB/s
                  15;              5529600 bytes;    18241087.000 ns;         289.097 MiB/s
                  16;              5529600 bytes;    17719527.000 ns;         297.606 MiB/s
                  17;              5529600 bytes;    17279049.000 ns;         305.193 MiB/s
                  18;              5529600 bytes;    19258213.000 ns;         273.828 MiB/s
                  19;              5529600 bytes;    22816391.000 ns;         231.125 MiB/s
                  20;              5529600 bytes;    23178502.000 ns;         227.514 MiB/s
                  21;              5529600 bytes;    19747268.000 ns;         267.046 MiB/s
                  22;              5529600 bytes;    19259571.000 ns;         273.809 MiB/s
                  23;              5529600 bytes;    18710261.000 ns;         281.847 MiB/s
                  24;              5529600 bytes;    18744909.000 ns;         281.326 MiB/s
                  25;              5529600 bytes;    18858141.000 ns;         279.637 MiB/s
                  26;              5529600 bytes;    19071981.000 ns;         276.502 MiB/s
                  27;              5529600 bytes;    20537495.000 ns;         256.771 MiB/s
                  28;              5529600 bytes;    19605012.000 ns;         268.984 MiB/s
                  29;              5529600 bytes;    21030466.000 ns;         250.752 MiB/s
                  30;              5529600 bytes;    19699962.000 ns;         267.688 MiB/s
                  31;              5529600 bytes;    19662330.000 ns;         268.200 MiB/s
                  32;              5529600 bytes;    19665896.000 ns;         268.151 MiB/s
                  33;              5529600 bytes;    18391900.000 ns;         286.726 MiB/s
                  34;              5529600 bytes;    22788919.000 ns;         231.404 MiB/s
                  35;              5529600 bytes;    19810278.000 ns;         266.197 MiB/s
                  36;              5529600 bytes;    20180847.000 ns;         261.309 MiB/s
                  37;              5529600 bytes;    19646437.000 ns;         268.417 MiB/s
                  38;              5529600 bytes;    20419251.000 ns;         258.258 MiB/s
                  39;              5529600 bytes;    20447136.000 ns;         257.906 MiB/s
                  40;              5529600 bytes;    21028572.000 ns;         250.775 MiB/s
                  41;              5529600 bytes;    20644041.000 ns;         255.446 MiB/s
                  42;              5529600 bytes;    23012077.000 ns;         229.160 MiB/s
                  43;              5529600 bytes;    22873101.000 ns;         230.552 MiB/s
                  44;              5529600 bytes;    21052345.000 ns;         250.492 MiB/s
                  45;              5529600 bytes;    21186803.000 ns;         248.902 MiB/s
                  46;              5529600 bytes;    20922756.000 ns;         252.043 MiB/s
                  47;              5529600 bytes;    22556222.000 ns;         233.791 MiB/s
                  48;              5529600 bytes;    22657045.000 ns;         232.750 MiB/s
                  49;              5529600 bytes;    21179687.000 ns;         248.986 MiB/s
                  50;              5529600 bytes;    17100446.000 ns;         308.380 MiB/s
                  51;              5529600 bytes;    22088387.000 ns;         238.743 MiB/s
                  52;              5529600 bytes;    21923322.000 ns;         240.540 MiB/s
                  53;              5529600 bytes;    20813492.000 ns;         253.366 MiB/s
                  54;              5529600 bytes;    24178281.000 ns;         218.106 MiB/s
                  55;              5529600 bytes;    21643342.000 ns;         243.652 MiB/s
                  56;              5529600 bytes;    21013821.000 ns;         250.951 MiB/s
                  57;              5529600 bytes;    23263590.000 ns;         226.682 MiB/s
                  58;              5529600 bytes;    21463748.000 ns;         245.690 MiB/s
                  59;              5529600 bytes;    21679259.000 ns;         243.248 MiB/s
                  60;              5529600 bytes;    20336679.000 ns;         259.307 MiB/s
                  61;              5529600 bytes;    21476960.000 ns;         245.539 MiB/s
                  62;              5529600 bytes;    20147968.000 ns;         261.735 MiB/s
                  63;              5529600 bytes;    20924571.000 ns;         252.021 MiB/s
                  64;              5529600 bytes;    22716826.000 ns;         232.138 MiB/s
                  65;              5529600 bytes;    22556024.000 ns;         233.793 MiB/s
                  66;              5529600 bytes;    20806534.000 ns;         253.451 MiB/s
                  67;              5529600 bytes;    21109732.000 ns;         249.811 MiB/s
                  68;              5529600 bytes;    20260677.000 ns;         260.279 MiB/s
                  69;              5529600 bytes;    21871464.000 ns;         241.110 MiB/s
                  70;              5529600 bytes;    20321347.000 ns;         259.502 MiB/s
                  71;              5529600 bytes;    23271631.000 ns;         226.604 MiB/s
                  72;              5529600 bytes;    22121380.000 ns;         238.386 MiB/s
                  73;              5529600 bytes;    21509558.000 ns;         245.167 MiB/s
                  74;              5529600 bytes;    21102012.000 ns;         249.902 MiB/s
                  75;              5529600 bytes;    21342724.000 ns;         247.084 MiB/s
                  76;              5529600 bytes;    22782478.000 ns;         231.469 MiB/s
                  77;              5529600 bytes;    22795181.000 ns;         231.340 MiB/s
                  78;              5529600 bytes;    19748730.000 ns;         267.027 MiB/s
                  79;              5529600 bytes;    20141117.000 ns;         261.824 MiB/s
                  80;              5529600 bytes;    20677818.000 ns;         255.029 MiB/s
                  81;              5529600 bytes;    20368605.000 ns;         258.900 MiB/s
                  82;              5529600 bytes;    19990233.000 ns;         263.801 MiB/s
                  83;              5529600 bytes;    20763617.000 ns;         253.975 MiB/s
                  84;              5529600 bytes;    20388099.000 ns;         258.653 MiB/s
                  85;              5529600 bytes;    20095862.000 ns;         262.414 MiB/s
                  86;              5529600 bytes;    22550524.000 ns;         233.850 MiB/s
                  87;              5529600 bytes;    21432558.000 ns;         246.048 MiB/s
                  88;              5529600 bytes;    20736142.000 ns;         254.311 MiB/s
                  89;              5529600 bytes;    20156139.000 ns;         261.629 MiB/s
                  90;              5529600 bytes;    20555623.000 ns;         256.545 MiB/s
                  91;              5529600 bytes;    19739188.000 ns;         267.156 MiB/s
                  92;              5529600 bytes;    20584435.000 ns;         256.186 MiB/s
                  93;              5529600 bytes;    20351413.000 ns;         259.119 MiB/s
                  94;              5529600 bytes;    22378375.000 ns;         235.649 MiB/s
                  95;              5529600 bytes;    22659842.000 ns;         232.722 MiB/s
                  96;              5529600 bytes;    21057690.000 ns;         250.428 MiB/s
                  97;              5529600 bytes;    20956108.000 ns;         251.642 MiB/s
                  98;              5529600 bytes;    20404385.000 ns;         258.446 MiB/s
                  99;              5529600 bytes;    21516417.000 ns;         245.089 MiB/s
                 100;              5529600 bytes;    21086574.000 ns;         250.085 MiB/s
                 101;              5529600 bytes;    24238252.000 ns;         217.567 MiB/s
                 102;              5529600 bytes;    23754571.000 ns;         221.997 MiB/s
                 103;              5529600 bytes;    21366168.000 ns;         246.813 MiB/s
                 104;              5529600 bytes;    23548177.000 ns;         223.942 MiB/s
                 105;              5529600 bytes;    20754935.000 ns;         254.081 MiB/s
                 106;              5529600 bytes;    20863092.000 ns;         252.764 MiB/s
                 107;              5529600 bytes;    20318754.000 ns;         259.535 MiB/s
                 108;              5529600 bytes;    18991191.000 ns;         277.678 MiB/s
                 109;              5529600 bytes;    21757643.000 ns;         242.372 MiB/s
                 110;              5529600 bytes;    21913713.000 ns;         240.646 MiB/s
                 111;              5529600 bytes;    19950691.000 ns;         264.324 MiB/s
                 112;              5529600 bytes;    22139290.000 ns;         238.194 MiB/s
                 113;              5529600 bytes;    21275266.000 ns;         247.867 MiB/s
                 114;              5529600 bytes;    21472439.000 ns;         245.591 MiB/s
                 115;              5529600 bytes;    20048757.000 ns;         263.031 MiB/s
                 116;              5529600 bytes;    20662073.000 ns;         255.223 MiB/s
                 117;              5529600 bytes;    21254541.000 ns;         248.109 MiB/s
                 118;              5529600 bytes;    23301090.000 ns;         226.317 MiB/s
                 119;              5529600 bytes;    21780895.000 ns;         242.113 MiB/s
                 120;              5529600 bytes;    20839652.000 ns;         253.048 MiB/s
                 121;              5529600 bytes;    20461779.000 ns;         257.721 MiB/s
                 122;              5529600 bytes;    20056439.000 ns;         262.930 MiB/s
                 123;              5529600 bytes;    20620911.000 ns;         255.733 MiB/s
                 124;              5529600 bytes;    19949794.000 ns;         264.335 MiB/s
                 125;              5529600 bytes;    20952671.000 ns;         251.683 MiB/s
                 126;              5529600 bytes;    20752417.000 ns;         254.112 MiB/s
                 127;              5529600 bytes;    22075032.000 ns;         238.887 MiB/s
                 128;              5529600 bytes;    22786167.000 ns;         231.432 MiB/s
                 129;              5529600 bytes;    22288262.000 ns;         236.602 MiB/s
                 130;              5529600 bytes;    21319127.000 ns;         247.357 MiB/s
                 131;              5529600 bytes;    20601494.000 ns;         255.974 MiB/s
                 132;              5529600 bytes;    22638551.000 ns;         232.941 MiB/s
                 133;              5529600 bytes;    19232336.000 ns;         274.196 MiB/s
                 134;              5529600 bytes;    23584475.000 ns;         223.598 MiB/s
                 135;              5529600 bytes;    22518828.000 ns;         234.179 MiB/s
                 136;              5529600 bytes;    21079580.000 ns;         250.168 MiB/s
                 137;              5529600 bytes;    20724357.000 ns;         254.456 MiB/s
                 138;              5529600 bytes;    20331698.000 ns;         259.370 MiB/s
                 139;              5529600 bytes;    22514648.000 ns;         234.223 MiB/s
                 140;              5529600 bytes;    19973429.000 ns;         264.023 MiB/s
                 141;              5529600 bytes;    19977613.000 ns;         263.967 MiB/s
                 142;              5529600 bytes;    22879650.000 ns;         230.486 MiB/s
                 143;              5529600 bytes;    20906086.000 ns;         252.244 MiB/s
                 144;              5529600 bytes;    21244326.000 ns;         248.228 MiB/s
                 145;              5529600 bytes;    20087545.000 ns;         262.523 MiB/s
                 146;              5529600 bytes;    21178090.000 ns;         249.004 MiB/s
                 147;              5529600 bytes;    20344750.000 ns;         259.204 MiB/s
                 148;              5529600 bytes;    21749092.000 ns;         242.467 MiB/s
                 149;              5529600 bytes;    19924394.000 ns;         264.672 MiB/s
                 150;              5529600 bytes;    23418671.000 ns;         225.181 MiB/s
                 151;              5529600 bytes;    20878246.000 ns;         252.580 MiB/s
                 152;              5529600 bytes;    20143835.000 ns;         261.789 MiB/s
                 153;              5529600 bytes;    21202745.000 ns;         248.715 MiB/s
                 154;              5529600 bytes;    20506649.000 ns;         257.157 MiB/s
                 155;              5529600 bytes;    21849202.000 ns;         241.356 MiB/s
                 156;              5529600 bytes;    22305903.000 ns;         236.414 MiB/s
                 157;              5529600 bytes;    20791753.000 ns;         253.631 MiB/s
                 158;              5529600 bytes;    19097473.000 ns;         276.133 MiB/s
                 159;              5529600 bytes;    20146538.000 ns;         261.754 MiB/s
                 160;              5529600 bytes;    19774773.000 ns;         266.675 MiB/s
                 161;              5529600 bytes;    20085701.000 ns;         262.547 MiB/s
                 162;              5529600 bytes;    18153972.000 ns;         290.484 MiB/s
                 163;              5529600 bytes;    20402725.000 ns;         258.467 MiB/s
                 164;              5529600 bytes;    20923390.000 ns;         252.036 MiB/s
                 165;              5529600 bytes;    18587281.000 ns;         283.712 MiB/s
                 166;              5529600 bytes;    18623521.000 ns;         283.160 MiB/s
                 167;              5529600 bytes;    18589130.000 ns;         283.684 MiB/s
                 168;              5529600 bytes;    18627820.000 ns;         283.095 MiB/s
                 169;              5529600 bytes;    18025083.000 ns;         292.561 MiB/s
                 170;              5529600 bytes;    16977457.000 ns;         310.614 MiB/s
                 171;              5529600 bytes;    16703705.000 ns;         315.705 MiB/s
                 172;              5529600 bytes;    17930404.000 ns;         294.106 MiB/s
                 173;              5529600 bytes;    18047666.000 ns;         292.195 MiB/s
                 174;              5529600 bytes;    17595176.000 ns;         299.709 MiB/s
                 175;              5529600 bytes;    16965738.000 ns;         310.829 MiB/s
                 176;              5529600 bytes;    20571113.000 ns;         256.352 MiB/s
                 177;              5529600 bytes;    19490573.000 ns;         270.563 MiB/s
                 178;              5529600 bytes;    20843589.000 ns;         253.000 MiB/s
                 179;              5529600 bytes;    20255950.000 ns;         260.340 MiB/s
                 180;              5529600 bytes;    20516004.000 ns;         257.040 MiB/s
                 181;              5529600 bytes;    19285937.000 ns;         273.434 MiB/s
                 182;              5529600 bytes;    19005034.000 ns;         277.476 MiB/s
                 183;              5529600 bytes;    20904913.000 ns;         252.258 MiB/s
                 184;              5529600 bytes;    22134420.000 ns;         238.246 MiB/s
                 185;              5529600 bytes;    20947850.000 ns;         251.741 MiB/s
                 186;              5529600 bytes;    19844335.000 ns;         265.740 MiB/s
                 187;              5529600 bytes;    19918659.000 ns;         264.749 MiB/s
                 188;              5529600 bytes;    20043748.000 ns;         263.096 MiB/s
                 189;              5529600 bytes;    19017247.000 ns;         277.298 MiB/s
                 190;              5529600 bytes;    18900824.000 ns;         279.006 MiB/s
                 191;              5529600 bytes;    20302905.000 ns;         259.738 MiB/s
                 192;              5529600 bytes;    19815866.000 ns;         266.122 MiB/s
                 193;              5529600 bytes;    19033890.000 ns;         277.055 MiB/s
                 194;              5529600 bytes;    18726894.000 ns;         281.597 MiB/s
                 195;              5529600 bytes;    24875173.000 ns;         211.996 MiB/s
                 196;              5529600 bytes;    18847705.000 ns;         279.792 MiB/s
                 197;              5529600 bytes;    17644951.000 ns;         298.864 MiB/s
                 198;              5529600 bytes;    17392967.000 ns;         303.194 MiB/s
                 199;              5529600 bytes;    18973974.000 ns;         277.930 MiB/s
                 200;              5529600 bytes;    17728220.000 ns;         297.460 MiB/s
                 201;              5529600 bytes;    19305902.000 ns;         273.152 MiB/s
                 202;              5529600 bytes;    18336444.000 ns;         287.593 MiB/s
                 203;              5529600 bytes;    18043203.000 ns;         292.267 MiB/s
                 204;              5529600 bytes;    16994909.000 ns;         310.295 MiB/s
                 205;              5529600 bytes;    16807789.000 ns;         313.750 MiB/s
                 206;              5529600 bytes;    18396196.000 ns;         286.659 MiB/s
                 207;              5529600 bytes;    18680047.000 ns;         282.303 MiB/s
                 208;              5529600 bytes;    17722961.000 ns;         297.548 MiB/s
                 209;              5529600 bytes;    16620258.000 ns;         317.290 MiB/s
                 210;              5529600 bytes;    18942561.000 ns;         278.391 MiB/s
                 211;              5529600 bytes;    20087341.000 ns;         262.525 MiB/s
                 212;              5529600 bytes;    19141840.000 ns;         275.493 MiB/s
                 213;              5529600 bytes;    18207021.000 ns;         289.638 MiB/s
                 214;              5529600 bytes;    19483692.000 ns;         270.659 MiB/s
                 215;              5529600 bytes;    19617686.000 ns;         268.810 MiB/s
                 216;              5529600 bytes;    18904852.000 ns;         278.946 MiB/s
                 217;              5529600 bytes;    18997567.000 ns;         277.585 MiB/s
                 218;              5529600 bytes;    17936181.000 ns;         294.011 MiB/s
                 219;              5529600 bytes;    17583867.000 ns;         299.902 MiB/s
                 220;              5529600 bytes;    18334625.000 ns;         287.622 MiB/s
                 221;              5529600 bytes;    20981982.000 ns;         251.332 MiB/s
                 222;              5529600 bytes;    18650912.000 ns;         282.744 MiB/s
                 223;              5529600 bytes;    20050945.000 ns;         263.002 MiB/s
                 224;              5529600 bytes;    17434051.000 ns;         302.479 MiB/s
                 225;              5529600 bytes;    18723269.000 ns;         281.652 MiB/s
                 226;              5529600 bytes;    18405534.000 ns;         286.514 MiB/s
                 227;              5529600 bytes;    17273130.000 ns;         305.297 MiB/s
                 228;              5529600 bytes;    16736102.000 ns;         315.094 MiB/s
                 229;              5529600 bytes;    18612656.000 ns;         283.325 MiB/s
                 230;              5529600 bytes;    18057190.000 ns;         292.041 MiB/s
                 231;              5529600 bytes;    17929170.000 ns;         294.126 MiB/s
                 232;              5529600 bytes;    16839774.000 ns;         313.154 MiB/s
                 233;              5529600 bytes;    20363429.000 ns;         258.966 MiB/s
                 234;              5529600 bytes;    17865626.000 ns;         295.172 MiB/s
                 235;              5529600 bytes;    18253884.000 ns;         288.894 MiB/s
                 236;              5529600 bytes;    19704568.000 ns;         267.625 MiB/s
                 237;              5529600 bytes;    20231036.000 ns;         260.661 MiB/s
                 238;              5529600 bytes;    20695893.000 ns;         254.806 MiB/s
                 239;              5529600 bytes;    23472210.000 ns;         224.667 MiB/s
                 240;              5529600 bytes;    19701733.000 ns;         267.664 MiB/s
                 241;              5529600 bytes;    19976393.000 ns;         263.983 MiB/s
                 242;              5529600 bytes;    18593084.000 ns;         283.624 MiB/s
                 243;              5529600 bytes;    21257472.000 ns;         248.075 MiB/s
                 244;              5529600 bytes;    21072335.000 ns;         250.254 MiB/s
                 245;              5529600 bytes;    21263820.000 ns;         248.000 MiB/s
                 246;              5529600 bytes;    19752057.000 ns;         266.982 MiB/s
                 247;              5529600 bytes;    20313985.000 ns;         259.596 MiB/s
                 248;              5529600 bytes;    18906676.000 ns;         278.919 MiB/s
                 249;              5529600 bytes;    21498928.000 ns;         245.288 MiB/s
                 250;              5529600 bytes;    20536841.000 ns;         256.779 MiB/s
                 251;              5529600 bytes;    22126529.000 ns;         238.331 MiB/s
                 252;              5529600 bytes;    22626848.000 ns;         233.061 MiB/s
                 253;              5529600 bytes;    20529356.000 ns;         256.873 MiB/s
                 254;              5529600 bytes;    22569900.000 ns;         233.649 MiB/s
                 255;              5529600 bytes;    19992974.000 ns;         263.765 MiB/s
                 256;              5529600 bytes;    20664725.000 ns;         255.190 MiB/s
                 257;              5529600 bytes;    19863270.000 ns;         265.487 MiB/s
                 258;              5529600 bytes;    20569056.000 ns;         256.377 MiB/s
                 259;              5529600 bytes;    20274911.000 ns;         260.097 MiB/s
                 260;              5529600 bytes;    21135152.000 ns;         249.510 MiB/s
                 261;              5529600 bytes;    20790640.000 ns;         253.645 MiB/s
                 262;              5529600 bytes;    21041059.000 ns;         250.626 MiB/s
                 263;              5529600 bytes;    20361858.000 ns;         258.986 MiB/s
                 264;              5529600 bytes;    19527917.000 ns;         270.046 MiB/s
                 265;              5529600 bytes;    20569089.000 ns;         256.377 MiB/s
                 266;              5529600 bytes;    16833038.000 ns;         313.279 MiB/s
                 267;              5529600 bytes;    19599718.000 ns;         269.057 MiB/s
                 268;              5529600 bytes;    18293370.000 ns;         288.270 MiB/s
                 269;              5529600 bytes;    18296630.000 ns;         288.219 MiB/s
                 270;              5529600 bytes;    17678569.000 ns;         298.295 MiB/s
                 271;              5529600 bytes;    16248166.000 ns;         324.556 MiB/s
                 272;              5529600 bytes;    16360623.000 ns;         322.325 MiB/s
                 273;              5529600 bytes;    16786330.000 ns;         314.151 MiB/s
                 274;              5529600 bytes;    16194986.000 ns;         325.622 MiB/s
                 275;              5529600 bytes;    16135324.000 ns;         326.826 MiB/s
                 276;              5529600 bytes;    16782196.000 ns;         314.228 MiB/s
                 277;              5529600 bytes;    16258923.000 ns;         324.341 MiB/s
                 278;              5529600 bytes;    16163678.000 ns;         326.252 MiB/s
                 279;              5529600 bytes;    17384785.000 ns;         303.336 MiB/s
                 280;              5529600 bytes;    17259501.000 ns;         305.538 MiB/s
                 281;              5529600 bytes;    16403478.000 ns;         321.483 MiB/s
                 282;              5529600 bytes;    16800249.000 ns;         313.890 MiB/s
                 283;              5529600 bytes;    16198377.000 ns;         325.553 MiB/s
