                   0;              5529600 bytes;   125462327.000 ns;          42.032 MiB/s
                   1;              5529600 bytes;   125522050.000 ns;          42.012 MiB/s
                   2;              5529600 bytes;   126000198.000 ns;          41.853 MiB/s
                   3;              5529600 bytes;   125786334.000 ns;          41.924 MiB/s
                   4;              5529600 bytes;   126896625.000 ns;          41.557 MiB/s
                   5;              5529600 bytes;   126848174.000 ns;          41.573 MiB/s
                   6;              5529600 bytes;   127054649.000 ns;          41.505 MiB/s
                   7;              5529600 bytes;   127013110.000 ns;          41.519 MiB/s
                   8;              5529600 bytes;   127464198.000 ns;          41.372 MiB/s
                   9;              5529600 bytes;   128217647.000 ns;          41.129 MiB/s
                  10;              5529600 bytes;   129139206.000 ns;          40.835 MiB/s
                  11;              5529600 bytes;   127673448.000 ns;          41.304 MiB/s
                  12;              5529600 bytes;   127969113.000 ns;          41.209 MiB/s
                  13;              5529600 bytes;   128024955.000 ns;          41.191 MiB/s
                  14;              5529600 bytes;   128244102.000 ns;          41.120 MiB/s
                  15;              5529600 bytes;   128189317.000 ns;          41.138 MiB/s
                  16;              5529600 bytes;   128340755.000 ns;          41.089 MiB/s
                  17;              5529600 bytes;   129973228.000 ns;          40.573 MiB/s
                  18;              5529600 bytes;   129802854.000 ns;          40.627 MiB/s
                  19;              5529600 bytes;   128516960.000 ns;          41.033 MiB/s
                  20;              5529600 bytes;   129422484.000 ns;          40.746 MiB/s
                  21;              5529600 bytes;   129386753.000 ns;          40.757 MiB/s
                  22;              5529600 bytes;   129284856.000 ns;          40.789 MiB/s
                  23;              5529600 bytes;   128888358.000 ns;          40.915 MiB/s
                  24;              5529600 bytes;   128740064.000 ns;          40.962 MiB/s
                  25;              5529600 bytes;   128680601.000 ns;          40.981 MiB/s
                  26;              5529600 bytes;   128865533.000 ns;          40.922 MiB/s
                  27;              5529600 bytes;   128447920.000 ns;          41.055 MiB/s
                  28;              5529600 bytes;   129364321.000 ns;          40.764 MiB/s
                  29;              5529600 bytes;   129987254.000 ns;          40.569 MiB/s
                  30;              5529600 bytes;   128878983.000 ns;          40.918 MiB/s
                  31;              5529600 bytes;   128769627.000 ns;          40.952 MiB/s
                  32;              5529600 bytes;   128999932.000 ns;          40.879 MiB/s
                  33;              5529600 bytes;   128903430.000 ns;          40.910 MiB/s
                  34;              5529600 bytes;   128860200.000 ns;          40.924 MiB/s
                  35;              5529600 bytes;   128917696.000 ns;          40.905 MiB/s
                  36;              5529600 bytes;   129232207.000 ns;          40.806 MiB/s
                  37;              5529600 bytes;   128942862.000 ns;          40.897 MiB/s
                  38;              5529600 bytes;   128972190.000 ns;          40.888 MiB/s
                  39;              5529600 bytes;   128684687.000 ns;          40.980 MiB/s
                  40;              5529600 bytes;   128849256.000 ns;          40.927 MiB/s
                  41;              5529600 bytes;   129067173.000 ns;          40.858 MiB/s
                  42;              5529600 bytes;   130300138.000 ns;          40.471 MiB/s
                  43;              5529600 bytes;   130385109.000 ns;          40.445 MiB/s
                  44;              5529600 bytes;   130407337.000 ns;          40.438 MiB/s
                  45;              5529600 bytes;   130660257.000 ns;          40.360 MiB/s
                  46;              5529600 bytes;   130542798.000 ns;          40.396 MiB/s
                  47;              5529600 bytes;   130502971.000 ns;          40.409 MiB/s
                  48;              5529600 bytes;   131029160.000 ns;          40.246 MiB/s
                  49;              5529600 bytes;   130511056.000 ns;          40.406 MiB/s
                  50;              5529600 bytes;   130572865.000 ns;          40.387 MiB/s
                  51;              5529600 bytes;   130598628.000 ns;          40.379 MiB/s
                  52;              5529600 bytes;   129924936.000 ns;          40.588 MiB/s
                  53;              5529600 bytes;   129412736.000 ns;          40.749 MiB/s
                  54;              5529600 bytes;   130620250.000 ns;          40.372 MiB/s
                  55;              5529600 bytes;   130962149.000 ns;          40.267 MiB/s
                  56;              5529600 bytes;   130702211.000 ns;          40.347 MiB/s
                  57;              5529600 bytes;   130637772.000 ns;          40.367 MiB/s
                  58;              5529600 bytes;   129319254.000 ns;          40.778 MiB/s
                  59;              5529600 bytes;   130735698.000 ns;          40.337 MiB/s
                  60;              5529600 bytes;   129907913.000 ns;          40.594 MiB/s
                  61;              5529600 bytes;   129600992.000 ns;          40.690 MiB/s
                  62;              5529600 bytes;   129387974.000 ns;          40.757 MiB/s
                  63;              5529600 bytes;   129320041.000 ns;          40.778 MiB/s
                  64;              5529600 bytes;   129434865.000 ns;          40.742 MiB/s
                  65;              5529600 bytes;   129457270.000 ns;          40.735 MiB/s
                  66;              5529600 bytes;   129231724.000 ns;          40.806 MiB/s
                  67;              5529600 bytes;   129704469.000 ns;          40.657 MiB/s
                  68;              5529600 bytes;   129307108.000 ns;          40.782 MiB/s
                  69;              5529600 bytes;   129312138.000 ns;          40.781 MiB/s
                  70;              5529600 bytes;   130920729.000 ns;          40.280 MiB/s
                  71;              5529600 bytes;   129997069.000 ns;          40.566 MiB/s
                  72;              5529600 bytes;   129232616.000 ns;          40.806 MiB/s
                  73;              5529600 bytes;   130180170.000 ns;          40.509 MiB/s
                  74;              5529600 bytes;   129790854.000 ns;          40.630 MiB/s
                  75;              5529600 bytes;   130584767.000 ns;          40.383 MiB/s
                  76;              5529600 bytes;   130528485.000 ns;          40.401 MiB/s
                  77;              5529600 bytes;   130570824.000 ns;          40.388 MiB/s
                  78;              5529600 bytes;   130452705.000 ns;          40.424 MiB/s
                  79;              5529600 bytes;   130566487.000 ns;          40.389 MiB/s
                  80;              5529600 bytes;   130961771.000 ns;          40.267 MiB/s
                  81;              5529600 bytes;   129730678.000 ns;          40.649 MiB/s
                  82;              5529600 bytes;   129183000.000 ns;          40.821 MiB/s
                  83;              5529600 bytes;   129294870.000 ns;          40.786 MiB/s
                  84;              5529600 bytes;   129285465.000 ns;          40.789 MiB/s
                  85;              5529600 bytes;   129296673.000 ns;          40.786 MiB/s
                  86;              5529600 bytes;   129239621.000 ns;          40.804 MiB/s
                  87;              5529600 bytes;   129741743.000 ns;          40.646 MiB/s
                  88;              5529600 bytes;   129146344.000 ns;          40.833 MiB/s
                  89;              5529600 bytes;   129268030.000 ns;          40.795 MiB/s
                  90;              5529600 bytes;   129256848.000 ns;          40.798 MiB/s
                  91;              5529600 bytes;   129288972.000 ns;          40.788 MiB/s
                  92;              5529600 bytes;   129874300.000 ns;          40.604 MiB/s
                  93;              5529600 bytes;   130459598.000 ns;          40.422 MiB/s
                  94;              5529600 bytes;   129339445.000 ns;          40.772 MiB/s
                  95;              5529600 bytes;   129127546.000 ns;          40.839 MiB/s
                  96;              5529600 bytes;   129013231.000 ns;          40.875 MiB/s
                  97;              5529600 bytes;   129248811.000 ns;          40.801 MiB/s
                  98;              5529600 bytes;   129624726.000 ns;          40.682 MiB/s
                  99;              5529600 bytes;   129212910.000 ns;          40.812 MiB/s
                 100;              5529600 bytes;   129408212.000 ns;          40.750 MiB/s
                 101;              5529600 bytes;   129083670.000 ns;          40.853 MiB/s
                 102;              5529600 bytes;   129041627.000 ns;          40.866 MiB/s
                 103;              5529600 bytes;   129113306.000 ns;          40.843 MiB/s
                 104;              5529600 bytes;   129270257.000 ns;          40.794 MiB/s
                 105;              5529600 bytes;   129363675.000 ns;          40.764 MiB/s
                 106;              5529600 bytes;   129244184.000 ns;          40.802 MiB/s
                 107;              5529600 bytes;   129702404.000 ns;          40.658 MiB/s
                 108;              5529600 bytes;   129173101.000 ns;          40.825 MiB/s
                 109;              5529600 bytes;   129876001.000 ns;          40.604 MiB/s
                 110;              5529600 bytes;   130299276.000 ns;          40.472 MiB/s
                 111;              5529600 bytes;   130465004.000 ns;          40.420 MiB/s
                 112;              5529600 bytes;   129069464.000 ns;          40.857 MiB/s
                 113;              5529600 bytes;   129183759.000 ns;          40.821 MiB/s
                 114;              5529600 bytes;   129280906.000 ns;          40.791 MiB/s
                 115;              5529600 bytes;   129148115.000 ns;          40.832 MiB/s
                 116;              5529600 bytes;   129432942.000 ns;          40.743 MiB/s
                 117;              5529600 bytes;   130126725.000 ns;          40.525 MiB/s
                 118;              5529600 bytes;   130169348.000 ns;          40.512 MiB/s
                 119;              5529600 bytes;   129144174.000 ns;          40.834 MiB/s
                 120;              5529600 bytes;   129318331.000 ns;          40.779 MiB/s
                 121;              5529600 bytes;   129052018.000 ns;          40.863 MiB/s
                 122;              5529600 bytes;   128992891.000 ns;          40.882 MiB/s
                 123;              5529600 bytes;   129025480.000 ns;          40.871 MiB/s
                 124;              5529600 bytes;   128920467.000 ns;          40.905 MiB/s
                 125;              5529600 bytes;   128980051.000 ns;          40.886 MiB/s
