                   0;              5529600 bytes;   109457290.000 ns;          48.178 MiB/s
                   1;              5529600 bytes;   108427314.000 ns;          48.636 MiB/s
                   2;              5529600 bytes;   108800027.000 ns;          48.469 MiB/s
                   3;              5529600 bytes;   108404613.000 ns;          48.646 MiB/s
                   4;              5529600 bytes;   109154518.000 ns;          48.312 MiB/s
                   5;              5529600 bytes;   109395420.000 ns;          48.205 MiB/s
                   6;              5529600 bytes;   109885416.000 ns;          47.990 MiB/s
                   7;              5529600 bytes;   109759251.000 ns;          48.045 MiB/s
                   8;              5529600 bytes;   110335204.000 ns;          47.795 MiB/s
                   9;              5529600 bytes;   109881182.000 ns;          47.992 MiB/s
                  10;              5529600 bytes;   110705294.000 ns;          47.635 MiB/s
                  11;              5529600 bytes;   110656744.000 ns;          47.656 MiB/s
                  12;              5529600 bytes;   110927094.000 ns;          47.540 MiB/s
                  13;              5529600 bytes;   110832064.000 ns;          47.580 MiB/s
                  14;              5529600 bytes;   111872925.000 ns;          47.138 MiB/s
                  15;              5529600 bytes;   110944079.000 ns;          47.532 MiB/s
                  16;              5529600 bytes;   111494695.000 ns;          47.298 MiB/s
                  17;              5529600 bytes;   110998546.000 ns;          47.509 MiB/s
                  18;              5529600 bytes;   111080404.000 ns;          47.474 MiB/s
                  19;              5529600 bytes;   111170671.000 ns;          47.436 MiB/s
                  20;              5529600 bytes;   111330337.000 ns;          47.367 MiB/s
                  21;              5529600 bytes;   111300302.000 ns;          47.380 MiB/s
                  22;              5529600 bytes;   111294050.000 ns;          47.383 MiB/s
                  23;              5529600 bytes;   111351032.000 ns;          47.359 MiB/s
                  24;              5529600 bytes;   111408313.000 ns;          47.334 MiB/s
                  25;              5529600 bytes;   111451525.000 ns;          47.316 MiB/s
                  26;              5529600 bytes;   110953697.000 ns;          47.528 MiB/s
                  27;              5529600 bytes;   111382627.000 ns;          47.345 MiB/s
                  28;              5529600 bytes;   111475821.000 ns;          47.306 MiB/s
                  29;              5529600 bytes;   111417983.000 ns;          47.330 MiB/s
                  30;              5529600 bytes;   111695341.000 ns;          47.213 MiB/s
                  31;              5529600 bytes;   111445633.000 ns;          47.318 MiB/s
                  32;              5529600 bytes;   111496637.000 ns;          47.297 MiB/s
                  33;              5529600 bytes;   111666093.000 ns;          47.225 MiB/s
                  34;              5529600 bytes;   111582784.000 ns;          47.260 MiB/s
                  35;              5529600 bytes;   111592073.000 ns;          47.256 MiB/s
                  36;              5529600 bytes;   111498523.000 ns;          47.296 MiB/s
                  37;              5529600 bytes;   111441426.000 ns;          47.320 MiB/s
