                   0;              5529600 bytes;    91156033.000 ns;          57.851 MiB/s
                   1;              5529600 bytes;    86975666.000 ns;          60.631 MiB/s
                   2;              5529600 bytes;    87034070.000 ns;          60.590 MiB/s
                   3;              5529600 bytes;    86933705.000 ns;          60.660 MiB/s
                   4;              5529600 bytes;    86917317.000 ns;          60.672 MiB/s
                   5;              5529600 bytes;    86842427.000 ns;          60.724 MiB/s
                   6;              5529600 bytes;    86847348.000 ns;          60.721 MiB/s
                   7;              5529600 bytes;    88034508.000 ns;          59.902 MiB/s
                   8;              5529600 bytes;    87467170.000 ns;          60.290 MiB/s
                   9;              5529600 bytes;    86829734.000 ns;          60.733 MiB/s
                  10;              5529600 bytes;    87217171.000 ns;          60.463 MiB/s
                  11;              5529600 bytes;    87719920.000 ns;          60.117 MiB/s
                  12;              5529600 bytes;    87519695.000 ns;          60.254 MiB/s
                  13;              5529600 bytes;    87658164.000 ns;          60.159 MiB/s
                  14;              5529600 bytes;    87628817.000 ns;          60.179 MiB/s
                  15;              5529600 bytes;    87780923.000 ns;          60.075 MiB/s
                  16;              5529600 bytes;    87816407.000 ns;          60.051 MiB/s
                  17;              5529600 bytes;    87743198.000 ns;          60.101 MiB/s
                  18;              5529600 bytes;    86872308.000 ns;          60.703 MiB/s
                  19;              5529600 bytes;    87059665.000 ns;          60.573 MiB/s
                  20;              5529600 bytes;    86870104.000 ns;          60.705 MiB/s
                  21;              5529600 bytes;    86892842.000 ns;          60.689 MiB/s
                  22;              5529600 bytes;    86952226.000 ns;          60.648 MiB/s
                  23;              5529600 bytes;    86800482.000 ns;          60.754 MiB/s
                  24;              5529600 bytes;    86806851.000 ns;          60.749 MiB/s
                  25;              5529600 bytes;    87041652.000 ns;          60.585 MiB/s
                  26;              5529600 bytes;    87744253.000 ns;          60.100 MiB/s
                  27;              5529600 bytes;    86794114.000 ns;          60.758 MiB/s
                  28;              5529600 bytes;    87090172.000 ns;          60.551 MiB/s
                  29;              5529600 bytes;    87127305.000 ns;          60.526 MiB/s
                  30;              5529600 bytes;    86808863.000 ns;          60.748 MiB/s
                  31;              5529600 bytes;    86773581.000 ns;          60.772 MiB/s
                  32;              5529600 bytes;    87602173.000 ns;          60.198 MiB/s
                  33;              5529600 bytes;    87059087.000 ns;          60.573 MiB/s
                  34;              5529600 bytes;    86810921.000 ns;          60.746 MiB/s
                  35;              5529600 bytes;    86783994.000 ns;          60.765 MiB/s
                  36;              5529600 bytes;    86843967.000 ns;          60.723 MiB/s
                  37;              5529600 bytes;    86770809.000 ns;          60.774 MiB/s
                  38;              5529600 bytes;    86847383.000 ns;          60.721 MiB/s
                  39;              5529600 bytes;    88003012.000 ns;          59.923 MiB/s
                  40;              5529600 bytes;    87490622.000 ns;          60.274 MiB/s
                  41;              5529600 bytes;    86906793.000 ns;          60.679 MiB/s
                  42;              5529600 bytes;    87148668.000 ns;          60.511 MiB/s
                  43;              5529600 bytes;    87250980.000 ns;          60.440 MiB/s
                  44;              5529600 bytes;    86694009.000 ns;          60.828 MiB/s
                  45;              5529600 bytes;    86823956.000 ns;          60.737 MiB/s
                  46;              5529600 bytes;    86760214.000 ns;          60.782 MiB/s
                  47;              5529600 bytes;    86803654.000 ns;          60.751 MiB/s
                  48;              5529600 bytes;    87079544.000 ns;          60.559 MiB/s
                  49;              5529600 bytes;    86815176.000 ns;          60.743 MiB/s
                  50;              5529600 bytes;    87455863.000 ns;          60.298 MiB/s
                  51;              5529600 bytes;    87197462.000 ns;          60.477 MiB/s
                  52;              5529600 bytes;    87658069.000 ns;          60.159 MiB/s
                  53;              5529600 bytes;    86866561.000 ns;          60.707 MiB/s
                  54;              5529600 bytes;    86908634.000 ns;          60.678 MiB/s
                  55;              5529600 bytes;    86793152.000 ns;          60.759 MiB/s
                  56;              5529600 bytes;    86799185.000 ns;          60.754 MiB/s
                  57;              5529600 bytes;    86798310.000 ns;          60.755 MiB/s
                  58;              5529600 bytes;    87042703.000 ns;          60.584 MiB/s
                  59;              5529600 bytes;    86871798.000 ns;          60.704 MiB/s
                  60;              5529600 bytes;    86758714.000 ns;          60.783 MiB/s
                  61;              5529600 bytes;    86757051.000 ns;          60.784 MiB/s
                  62;              5529600 bytes;    86868922.000 ns;          60.706 MiB/s
                  63;              5529600 bytes;    86838356.000 ns;          60.727 MiB/s
                  64;              5529600 bytes;    86820549.000 ns;          60.740 MiB/s
                  65;              5529600 bytes;    86783778.000 ns;          60.765 MiB/s
                  66;              5529600 bytes;    86731590.000 ns;          60.802 MiB/s
                  67;              5529600 bytes;    86603979.000 ns;          60.891 MiB/s
                  68;              5529600 bytes;    87244025.000 ns;          60.445 MiB/s
                  69;              5529600 bytes;    87683378.000 ns;          60.142 MiB/s
                  70;              5529600 bytes;    87595747.000 ns;          60.202 MiB/s
                  71;              5529600 bytes;    87082558.000 ns;          60.557 MiB/s
                  72;              5529600 bytes;    87585417.000 ns;          60.209 MiB/s
                  73;              5529600 bytes;    87037469.000 ns;          60.588 MiB/s
                  74;              5529600 bytes;    87611805.000 ns;          60.191 MiB/s
                  75;              5529600 bytes;    87758162.000 ns;          60.091 MiB/s
                  76;              5529600 bytes;    87272342.000 ns;          60.425 MiB/s
                  77;              5529600 bytes;    88034296.000 ns;          59.902 MiB/s
                  78;              5529600 bytes;    87584850.000 ns;          60.209 MiB/s
                  79;              5529600 bytes;    87362576.000 ns;          60.363 MiB/s
                  80;              5529600 bytes;    87356196.000 ns;          60.367 MiB/s
                  81;              5529600 bytes;    87460441.000 ns;          60.295 MiB/s
                  82;              5529600 bytes;    86882180.000 ns;          60.696 MiB/s
                  83;              5529600 bytes;    86774273.000 ns;          60.772 MiB/s
                  84;              5529600 bytes;    86812182.000 ns;          60.745 MiB/s
                  85;              5529600 bytes;    86751015.000 ns;          60.788 MiB/s
                  86;              5529600 bytes;    86768002.000 ns;          60.776 MiB/s
                  87;              5529600 bytes;    86808965.000 ns;          60.748 MiB/s
                  88;              5529600 bytes;    87858346.000 ns;          60.022 MiB/s
                  89;              5529600 bytes;    87552511.000 ns;          60.232 MiB/s
                  90;              5529600 bytes;    87178176.000 ns;          60.490 MiB/s
                  91;              5529600 bytes;    86814298.000 ns;          60.744 MiB/s
                  92;              5529600 bytes;    86825221.000 ns;          60.736 MiB/s
                  93;              5529600 bytes;    86694898.000 ns;          60.828 MiB/s
                  94;              5529600 bytes;    86874220.000 ns;          60.702 MiB/s
                  95;              5529600 bytes;    87676921.000 ns;          60.146 MiB/s
                  96;              5529600 bytes;    87208129.000 ns;          60.470 MiB/s
                  97;              5529600 bytes;    87596200.000 ns;          60.202 MiB/s
                  98;              5529600 bytes;    87117550.000 ns;          60.532 MiB/s
                  99;              5529600 bytes;    87304775.000 ns;          60.403 MiB/s
                 100;              5529600 bytes;    87350586.000 ns;          60.371 MiB/s
                 101;              5529600 bytes;    87398060.000 ns;          60.338 MiB/s
                 102;              5529600 bytes;    86996925.000 ns;          60.616 MiB/s
                 103;              5529600 bytes;    87681809.000 ns;          60.143 MiB/s
                 104;              5529600 bytes;    87594171.000 ns;          60.203 MiB/s
                 105;              5529600 bytes;    87704891.000 ns;          60.127 MiB/s
                 106;              5529600 bytes;    87609979.000 ns;          60.192 MiB/s
                 107;              5529600 bytes;    87674838.000 ns;          60.148 MiB/s
                 108;              5529600 bytes;    86795733.000 ns;          60.757 MiB/s
                 109;              5529600 bytes;    86846557.000 ns;          60.721 MiB/s
                 110;              5529600 bytes;    86811625.000 ns;          60.746 MiB/s
                 111;              5529600 bytes;    86880548.000 ns;          60.698 MiB/s
                 112;              5529600 bytes;    86861006.000 ns;          60.711 MiB/s
                 113;              5529600 bytes;    86841489.000 ns;          60.725 MiB/s
                 114;              5529600 bytes;    86842168.000 ns;          60.724 MiB/s
                 115;              5529600 bytes;    86888624.000 ns;          60.692 MiB/s
                 116;              5529600 bytes;    87784902.000 ns;          60.072 MiB/s
                 117;              5529600 bytes;    87775429.000 ns;          60.079 MiB/s
                 118;              5529600 bytes;    86881932.000 ns;          60.697 MiB/s
                 119;              5529600 bytes;    86827638.000 ns;          60.735 MiB/s
                 120;              5529600 bytes;    86786383.000 ns;          60.763 MiB/s
                 121;              5529600 bytes;    86972710.000 ns;          60.633 MiB/s
                 122;              5529600 bytes;    87025480.000 ns;          60.596 MiB/s
                 123;              5529600 bytes;    86828384.000 ns;          60.734 MiB/s
                 124;              5529600 bytes;    86840652.000 ns;          60.725 MiB/s
                 125;              5529600 bytes;    86671915.000 ns;          60.844 MiB/s
                 126;              5529600 bytes;    87201830.000 ns;          60.474 MiB/s
                 127;              5529600 bytes;    86987256.000 ns;          60.623 MiB/s
                 128;              5529600 bytes;    86805048.000 ns;          60.750 MiB/s
                 129;              5529600 bytes;    86861341.000 ns;          60.711 MiB/s
                 130;              5529600 bytes;    86874314.000 ns;          60.702 MiB/s
                 131;              5529600 bytes;    86951439.000 ns;          60.648 MiB/s
                 132;              5529600 bytes;    86981269.000 ns;          60.627 MiB/s
                 133;              5529600 bytes;    87256551.000 ns;          60.436 MiB/s
                 134;              5529600 bytes;    87690739.000 ns;          60.137 MiB/s
                 135;              5529600 bytes;    87722014.000 ns;          60.115 MiB/s
                 136;              5529600 bytes;    87383311.000 ns;          60.348 MiB/s
                 137;              5529600 bytes;    86864042.000 ns;          60.709 MiB/s
                 138;              5529600 bytes;    86834860.000 ns;          60.729 MiB/s
                 139;              5529600 bytes;    86919497.000 ns;          60.670 MiB/s
                 140;              5529600 bytes;    86763466.000 ns;          60.779 MiB/s
                 141;              5529600 bytes;    87081071.000 ns;          60.558 MiB/s
                 142;              5529600 bytes;    86789742.000 ns;          60.761 MiB/s
                 143;              5529600 bytes;    86864633.000 ns;          60.709 MiB/s
                 144;              5529600 bytes;    86910991.000 ns;          60.676 MiB/s
                 145;              5529600 bytes;    86808893.000 ns;          60.748 MiB/s
                 146;              5529600 bytes;    87105804.000 ns;          60.541 MiB/s
                 147;              5529600 bytes;    86844315.000 ns;          60.723 MiB/s
                 148;              5529600 bytes;    87003702.000 ns;          60.612 MiB/s
                 149;              5529600 bytes;    86865627.000 ns;          60.708 MiB/s
                 150;              5529600 bytes;    86897286.000 ns;          60.686 MiB/s
                 151;              5529600 bytes;    86923519.000 ns;          60.668 MiB/s
                 152;              5529600 bytes;    87074748.000 ns;          60.562 MiB/s
                 153;              5529600 bytes;    87050373.000 ns;          60.579 MiB/s
                 154;              5529600 bytes;    87786459.000 ns;          60.071 MiB/s
                 155;              5529600 bytes;    87894489.000 ns;          59.997 MiB/s
                 156;              5529600 bytes;    86872299.000 ns;          60.703 MiB/s
                 157;              5529600 bytes;    86854945.000 ns;          60.715 MiB/s
                 158;              5529600 bytes;    87071086.000 ns;          60.565 MiB/s
                 159;              5529600 bytes;    86847964.000 ns;          60.720 MiB/s
                 160;              5529600 bytes;    86845411.000 ns;          60.722 MiB/s
                 161;              5529600 bytes;    86880738.000 ns;          60.697 MiB/s
                 162;              5529600 bytes;    86812365.000 ns;          60.745 MiB/s
                 163;              5529600 bytes;    86891153.000 ns;          60.690 MiB/s
                 164;              5529600 bytes;    87193882.000 ns;          60.479 MiB/s
                 165;              5529600 bytes;    87131634.000 ns;          60.523 MiB/s
                 166;              5529600 bytes;    86781242.000 ns;          60.767 MiB/s
                 167;              5529600 bytes;    86914226.000 ns;          60.674 MiB/s
                 168;              5529600 bytes;    86912368.000 ns;          60.675 MiB/s
                 169;              5529600 bytes;    86798339.000 ns;          60.755 MiB/s
                 170;              5529600 bytes;    86868898.000 ns;          60.706 MiB/s
                 171;              5529600 bytes;    86782880.000 ns;          60.766 MiB/s
                 172;              5529600 bytes;    86787903.000 ns;          60.762 MiB/s
                 173;              5529600 bytes;    86859899.000 ns;          60.712 MiB/s
                 174;              5529600 bytes;    86763920.000 ns;          60.779 MiB/s
                 175;              5529600 bytes;    87300955.000 ns;          60.405 MiB/s
                 176;              5529600 bytes;    86897825.000 ns;          60.685 MiB/s
                 177;              5529600 bytes;    86868676.000 ns;          60.706 MiB/s
                 178;              5529600 bytes;    87007110.000 ns;          60.609 MiB/s
                 179;              5529600 bytes;    86790765.000 ns;          60.760 MiB/s
                 180;              5529600 bytes;    86741397.000 ns;          60.795 MiB/s
                 181;              5529600 bytes;    86878908.000 ns;          60.699 MiB/s
                 182;              5529600 bytes;    86826204.000 ns;          60.736 MiB/s
                 183;              5529600 bytes;    86968738.000 ns;          60.636 MiB/s
                 184;              5529600 bytes;    86855070.000 ns;          60.715 MiB/s
                 185;              5529600 bytes;    87304674.000 ns;          60.403 MiB/s
                 186;              5529600 bytes;    86847187.000 ns;          60.721 MiB/s
                 187;              5529600 bytes;    87799996.000 ns;          60.062 MiB/s
                 188;              5529600 bytes;    86879202.000 ns;          60.699 MiB/s
                 189;              5529600 bytes;    86965244.000 ns;          60.638 MiB/s
                 190;              5529600 bytes;    86850852.000 ns;          60.718 MiB/s
                 191;              5529600 bytes;    86888431.000 ns;          60.692 MiB/s
                 192;              5529600 bytes;    86891496.000 ns;          60.690 MiB/s
                 193;              5529600 bytes;    86846456.000 ns;          60.721 MiB/s
                 194;              5529600 bytes;    87219612.000 ns;          60.462 MiB/s
                 195;              5529600 bytes;    87001299.000 ns;          60.613 MiB/s
                 196;              5529600 bytes;    87028460.000 ns;          60.594 MiB/s
                 197;              5529600 bytes;    87071731.000 ns;          60.564 MiB/s
                 198;              5529600 bytes;    86819284.000 ns;          60.740 MiB/s
                 199;              5529600 bytes;    87239875.000 ns;          60.448 MiB/s
                 200;              5529600 bytes;    87758402.000 ns;          60.090 MiB/s
                 201;              5529600 bytes;    87081466.000 ns;          60.558 MiB/s
                 202;              5529600 bytes;    86980274.000 ns;          60.628 MiB/s
                 203;              5529600 bytes;    86818858.000 ns;          60.741 MiB/s
                 204;              5529600 bytes;    86820010.000 ns;          60.740 MiB/s
                 205;              5529600 bytes;    87282884.000 ns;          60.418 MiB/s
                 206;              5529600 bytes;    87534208.000 ns;          60.244 MiB/s
                 207;              5529600 bytes;    87728031.000 ns;          60.111 MiB/s
                 208;              5529600 bytes;    87727578.000 ns;          60.112 MiB/s
                 209;              5529600 bytes;    87477147.000 ns;          60.284 MiB/s
                 210;              5529600 bytes;    86859489.000 ns;          60.712 MiB/s
                 211;              5529600 bytes;    87037221.000 ns;          60.588 MiB/s
                 212;              5529600 bytes;    87083077.000 ns;          60.556 MiB/s
                 213;              5529600 bytes;    86830259.000 ns;          60.733 MiB/s
                 214;              5529600 bytes;    87197361.000 ns;          60.477 MiB/s
                 215;              5529600 bytes;    86898645.000 ns;          60.685 MiB/s
                 216;              5529600 bytes;    86933988.000 ns;          60.660 MiB/s
                 217;              5529600 bytes;    86899863.000 ns;          60.684 MiB/s
                 218;              5529600 bytes;    86824105.000 ns;          60.737 MiB/s
                 219;              5529600 bytes;    86971087.000 ns;          60.634 MiB/s
                 220;              5529600 bytes;    87211997.000 ns;          60.467 MiB/s
                 221;              5529600 bytes;    86769018.000 ns;          60.776 MiB/s
                 222;              5529600 bytes;    86761248.000 ns;          60.781 MiB/s
                 223;              5529600 bytes;    86709626.000 ns;          60.817 MiB/s
                 224;              5529600 bytes;    87079267.000 ns;          60.559 MiB/s
                 225;              5529600 bytes;    86821732.000 ns;          60.739 MiB/s
                 226;              5529600 bytes;    87024155.000 ns;          60.597 MiB/s
                 227;              5529600 bytes;    86813099.000 ns;          60.745 MiB/s
                 228;              5529600 bytes;    86983166.000 ns;          60.626 MiB/s
                 229;              5529600 bytes;    86900021.000 ns;          60.684 MiB/s
                 230;              5529600 bytes;    87608502.000 ns;          60.193 MiB/s
                 231;              5529600 bytes;    87620825.000 ns;          60.185 MiB/s
                 232;              5529600 bytes;    87500703.000 ns;          60.267 MiB/s
                 233;              5529600 bytes;    86773331.000 ns;          60.773 MiB/s
                 234;              5529600 bytes;    87220864.000 ns;          60.461 MiB/s
                 235;              5529600 bytes;    87274050.000 ns;          60.424 MiB/s
                 236;              5529600 bytes;    87508514.000 ns;          60.262 MiB/s
                 237;              5529600 bytes;    87398118.000 ns;          60.338 MiB/s
                 238;              5529600 bytes;    87806325.000 ns;          60.058 MiB/s
                 239;              5529600 bytes;    87160565.000 ns;          60.503 MiB/s
                 240;              5529600 bytes;    86923620.000 ns;          60.667 MiB/s
