                   0;              5529600 bytes;    26346307.000 ns;         200.159 MiB/s
                   1;              5529600 bytes;    25374894.000 ns;         207.821 MiB/s
                   2;              5529600 bytes;    25501490.000 ns;         206.789 MiB/s
                   3;              5529600 bytes;    25427246.000 ns;         207.393 MiB/s
                   4;              5529600 bytes;    25653418.000 ns;         205.565 MiB/s
                   5;              5529600 bytes;    25718416.000 ns;         205.045 MiB/s
                   6;              5529600 bytes;    25868244.000 ns;         203.858 MiB/s
                   7;              5529600 bytes;    25845179.000 ns;         204.040 MiB/s
                   8;              5529600 bytes;    25923875.000 ns;         203.420 MiB/s
                   9;              5529600 bytes;    25959387.000 ns;         203.142 MiB/s
                  10;              5529600 bytes;    26041888.000 ns;         202.498 MiB/s
                  11;              5529600 bytes;    25986823.000 ns;         202.927 MiB/s
                  12;              5529600 bytes;    26103454.000 ns;         202.021 MiB/s
                  13;              5529600 bytes;    26035322.000 ns;         202.549 MiB/s
                  14;              5529600 bytes;    26173618.000 ns;         201.479 MiB/s
                  15;              5529600 bytes;    26194846.000 ns;         201.316 MiB/s
                  16;              5529600 bytes;    26143447.000 ns;         201.712 MiB/s
                  17;              5529600 bytes;    26206564.000 ns;         201.226 MiB/s
                  18;              5529600 bytes;    26197226.000 ns;         201.298 MiB/s
                  19;              5529600 bytes;    26157136.000 ns;         201.606 MiB/s
                  20;              5529600 bytes;    26305227.000 ns;         200.471 MiB/s
                  21;              5529600 bytes;    26521171.000 ns;         198.839 MiB/s
                  22;              5529600 bytes;    26619560.000 ns;         198.104 MiB/s
                  23;              5529600 bytes;    26282303.000 ns;         200.646 MiB/s
                  24;              5529600 bytes;    26275559.000 ns;         200.697 MiB/s
                  25;              5529600 bytes;    26243182.000 ns;         200.945 MiB/s
                  26;              5529600 bytes;    26723314.000 ns;         197.335 MiB/s
                  27;              5529600 bytes;    26517295.000 ns;         198.868 MiB/s
                  28;              5529600 bytes;    26545732.000 ns;         198.655 MiB/s
                  29;              5529600 bytes;    26618683.000 ns;         198.110 MiB/s
                  30;              5529600 bytes;    26588705.000 ns;         198.334 MiB/s
                  31;              5529600 bytes;    26415198.000 ns;         199.636 MiB/s
                  32;              5529600 bytes;    26272615.000 ns;         200.720 MiB/s
