                   0;              5529600 bytes;    24330922.000 ns;         216.738 MiB/s
                   1;              5529600 bytes;    23837491.000 ns;         221.225 MiB/s
                   2;              5529600 bytes;    25101905.000 ns;         210.081 MiB/s
                   3;              5529600 bytes;    25511173.000 ns;         206.711 MiB/s
                   4;              5529600 bytes;    25283277.000 ns;         208.574 MiB/s
                   5;              5529600 bytes;    26450293.000 ns;         199.372 MiB/s
                   6;              5529600 bytes;    25762872.000 ns;         204.691 MiB/s
                   7;              5529600 bytes;    21870582.000 ns;         241.120 MiB/s
                   8;              5529600 bytes;    25057925.000 ns;         210.450 MiB/s
                   9;              5529600 bytes;    25377619.000 ns;         207.799 MiB/s
                  10;              5529600 bytes;    25577854.000 ns;         206.172 MiB/s
                  11;              5529600 bytes;    24254095.000 ns;         217.425 MiB/s
                  12;              5529600 bytes;    27502646.000 ns;         191.743 MiB/s
                  13;              5529600 bytes;    26574255.000 ns;         198.442 MiB/s
                  14;              5529600 bytes;    23855423.000 ns;         221.058 MiB/s
                  15;              5529600 bytes;    25843861.000 ns;         204.050 MiB/s
                  16;              5529600 bytes;    24527920.000 ns;         214.997 MiB/s
                  17;              5529600 bytes;    27518597.000 ns;         191.632 MiB/s
                  18;              5529600 bytes;    26663711.000 ns;         197.776 MiB/s
                  19;              5529600 bytes;    25037920.000 ns;         210.618 MiB/s
                  20;              5529600 bytes;    26256763.000 ns;         200.841 MiB/s
                  21;              5529600 bytes;    24637022.000 ns;         214.045 MiB/s
                  22;              5529600 bytes;    28024291.000 ns;         188.174 MiB/s
                  23;              5529600 bytes;    26639091.000 ns;         197.959 MiB/s
                  24;              5529600 bytes;    27591960.000 ns;         191.122 MiB/s
                  25;              5529600 bytes;    25300421.000 ns;         208.433 MiB/s
                  26;              5529600 bytes;    27955845.000 ns;         188.635 MiB/s
                  27;              5529600 bytes;    23925950.000 ns;         220.407 MiB/s
                  28;              5529600 bytes;    25512578.000 ns;         206.700 MiB/s
                  29;              5529600 bytes;    26575422.000 ns;         198.433 MiB/s
                  30;              5529600 bytes;    25956334.000 ns;         203.166 MiB/s
                  31;              5529600 bytes;    24491599.000 ns;         215.316 MiB/s
                  32;              5529600 bytes;    25975403.000 ns;         203.017 MiB/s
                  33;              5529600 bytes;    26167953.000 ns;         201.523 MiB/s
                  34;              5529600 bytes;    26826450.000 ns;         196.576 MiB/s
                  35;              5529600 bytes;    25702133.000 ns;         205.175 MiB/s
                  36;              5529600 bytes;    22622044.000 ns;         233.111 MiB/s
                  37;              5529600 bytes;    27206417.000 ns;         193.831 MiB/s
                  38;              5529600 bytes;    22750812.000 ns;         231.791 MiB/s
                  39;              5529600 bytes;    28113201.000 ns;         187.579 MiB/s
                  40;              5529600 bytes;    26801960.000 ns;         196.756 MiB/s
                  41;              5529600 bytes;    25024567.000 ns;         210.730 MiB/s
                  42;              5529600 bytes;    23849239.000 ns;         221.116 MiB/s
                  43;              5529600 bytes;    26305769.000 ns;         200.467 MiB/s
                  44;              5529600 bytes;    26588582.000 ns;         198.335 MiB/s
                  45;              5529600 bytes;    25799810.000 ns;         204.398 MiB/s
                  46;              5529600 bytes;    25635864.000 ns;         205.705 MiB/s
                  47;              5529600 bytes;    27885720.000 ns;         189.109 MiB/s
                  48;              5529600 bytes;    26415520.000 ns;         199.634 MiB/s
                  49;              5529600 bytes;    25692191.000 ns;         205.254 MiB/s
                  50;              5529600 bytes;    22485402.000 ns;         234.527 MiB/s
                  51;              5529600 bytes;    21393627.000 ns;         246.496 MiB/s
                  52;              5529600 bytes;    25684956.000 ns;         205.312 MiB/s
