                   0;              5529600 bytes;    23129448.000 ns;         227.997 MiB/s
                   1;              5529600 bytes;    20284310.000 ns;         259.976 MiB/s
                   2;              5529600 bytes;    19300296.000 ns;         273.231 MiB/s
                   3;              5529600 bytes;    20739402.000 ns;         254.271 MiB/s
                   4;              5529600 bytes;    19757636.000 ns;         266.906 MiB/s
                   5;              5529600 bytes;    19795700.000 ns;         266.393 MiB/s
                   6;              5529600 bytes;    19423095.000 ns;         271.503 MiB/s
                   7;              5529600 bytes;    22234844.000 ns;         237.170 MiB/s
                   8;              5529600 bytes;    19849012.000 ns;         265.678 MiB/s
                   9;              5529600 bytes;    19972994.000 ns;         264.028 MiB/s
                  10;              5529600 bytes;    19858503.000 ns;         265.551 MiB/s
                  11;              5529600 bytes;    20377136.000 ns;         258.792 MiB/s
                  12;              5529600 bytes;    20283955.000 ns;         259.981 MiB/s
                  13;              5529600 bytes;    20269339.000 ns;         260.168 MiB/s
                  14;              5529600 bytes;    20653002.000 ns;         255.335 MiB/s
                  15;              5529600 bytes;    19827468.000 ns;         265.966 MiB/s
                  16;              5529600 bytes;    21190882.000 ns;         248.854 MiB/s
                  17;              5529600 bytes;    19886045.000 ns;         265.183 MiB/s
                  18;              5529600 bytes;    20657956.000 ns;         255.274 MiB/s
                  19;              5529600 bytes;    19999362.000 ns;         263.680 MiB/s
                  20;              5529600 bytes;    19736785.000 ns;         267.188 MiB/s
                  21;              5529600 bytes;    19459730.000 ns;         270.992 MiB/s
                  22;              5529600 bytes;    20487145.000 ns;         257.402 MiB/s
                  23;              5529600 bytes;    20470497.000 ns;         257.612 MiB/s
                  24;              5529600 bytes;    20573407.000 ns;         256.323 MiB/s
                  25;              5529600 bytes;    20049925.000 ns;         263.015 MiB/s
                  26;              5529600 bytes;    21794765.000 ns;         241.959 MiB/s
                  27;              5529600 bytes;    20259778.000 ns;         260.291 MiB/s
                  28;              5529600 bytes;    19987007.000 ns;         263.843 MiB/s
                  29;              5529600 bytes;    24157431.000 ns;         218.295 MiB/s
                  30;              5529600 bytes;    24090787.000 ns;         218.899 MiB/s
                  31;              5529600 bytes;    23987096.000 ns;         219.845 MiB/s
                  32;              5529600 bytes;    22227598.000 ns;         237.247 MiB/s
                  33;              5529600 bytes;    23381755.000 ns;         225.536 MiB/s
                  34;              5529600 bytes;    21432677.000 ns;         246.047 MiB/s
                  35;              5529600 bytes;    20612447.000 ns;         255.838 MiB/s
                  36;              5529600 bytes;    20875783.000 ns;         252.610 MiB/s
                  37;              5529600 bytes;    20369526.000 ns;         258.889 MiB/s
