                   0;              5529600 bytes;    16806269.000 ns;         313.778 MiB/s
                   1;              5529600 bytes;    17206286.000 ns;         306.483 MiB/s
                   2;              5529600 bytes;    19104942.000 ns;         276.025 MiB/s
                   3;              5529600 bytes;    17638174.000 ns;         298.979 MiB/s
                   4;              5529600 bytes;    18302464.000 ns;         288.127 MiB/s
                   5;              5529600 bytes;    18103304.000 ns;         291.297 MiB/s
                   6;              5529600 bytes;    16660685.000 ns;         316.520 MiB/s
                   7;              5529600 bytes;    17941027.000 ns;         293.932 MiB/s
                   8;              5529600 bytes;    17135875.000 ns;         307.743 MiB/s
                   9;              5529600 bytes;    18647772.000 ns;         282.792 MiB/s
                  10;              5529600 bytes;    17184976.000 ns;         306.863 MiB/s
                  11;              5529600 bytes;    18007518.000 ns;         292.846 MiB/s
                  12;              5529600 bytes;    16930559.000 ns;         311.475 MiB/s
                  13;              5529600 bytes;    18429391.000 ns;         286.143 MiB/s
                  14;              5529600 bytes;    16980631.000 ns;         310.556 MiB/s
                  15;              5529600 bytes;    18836219.000 ns;         279.963 MiB/s
                  16;              5529600 bytes;    16853365.000 ns;         312.901 MiB/s
                  17;              5529600 bytes;    18550812.000 ns;         284.270 MiB/s
                  18;              5529600 bytes;    18130867.000 ns;         290.854 MiB/s
                  19;              5529600 bytes;    17532800.000 ns;         300.776 MiB/s
                  20;              5529600 bytes;    17738693.000 ns;         297.284 MiB/s
                  21;              5529600 bytes;    16703983.000 ns;         315.699 MiB/s
                  22;              5529600 bytes;    19365075.000 ns;         272.317 MiB/s
                  23;              5529600 bytes;    17382164.000 ns;         303.382 MiB/s
                  24;              5529600 bytes;    18051190.000 ns;         292.138 MiB/s
                  25;              5529600 bytes;    17101786.000 ns;         308.356 MiB/s
                  26;              5529600 bytes;    17330854.000 ns;         304.280 MiB/s
                  27;              5529600 bytes;    16972105.000 ns;         310.712 MiB/s
                  28;              5529600 bytes;    18756344.000 ns;         281.155 MiB/s
                  29;              5529600 bytes;    16862079.000 ns;         312.739 MiB/s
                  30;              5529600 bytes;    17413786.000 ns;         302.831 MiB/s
                  31;              5529600 bytes;    16388985.000 ns;         321.767 MiB/s
                  32;              5529600 bytes;    17603357.000 ns;         299.570 MiB/s
                  33;              5529600 bytes;    18092360.000 ns;         291.473 MiB/s
                  34;              5529600 bytes;    17914164.000 ns;         294.373 MiB/s
                  35;              5529600 bytes;    18736832.000 ns;         281.448 MiB/s
                  36;              5529600 bytes;    18992075.000 ns;         277.665 MiB/s
                  37;              5529600 bytes;    17309089.000 ns;         304.663 MiB/s
                  38;              5529600 bytes;    18673753.000 ns;         282.398 MiB/s
                  39;              5529600 bytes;    16968201.000 ns;         310.784 MiB/s
                  40;              5529600 bytes;    18166031.000 ns;         290.291 MiB/s
                  41;              5529600 bytes;    19192940.000 ns;         274.759 MiB/s
                  42;              5529600 bytes;    17747075.000 ns;         297.144 MiB/s
                  43;              5529600 bytes;    19310257.000 ns;         273.090 MiB/s
                  44;              5529600 bytes;    16996857.000 ns;         310.260 MiB/s
                  45;              5529600 bytes;    17969595.000 ns;         293.464 MiB/s
                  46;              5529600 bytes;    16699217.000 ns;         315.790 MiB/s
                  47;              5529600 bytes;    17024549.000 ns;         309.755 MiB/s
                  48;              5529600 bytes;    17550480.000 ns;         300.473 MiB/s
                  49;              5529600 bytes;    17017293.000 ns;         309.887 MiB/s
                  50;              5529600 bytes;    18346216.000 ns;         287.440 MiB/s
                  51;              5529600 bytes;    17567052.000 ns;         300.189 MiB/s
                  52;              5529600 bytes;    17664068.000 ns;         298.540 MiB/s
                  53;              5529600 bytes;    17429418.000 ns;         302.560 MiB/s
                  54;              5529600 bytes;    17890670.000 ns;         294.759 MiB/s
                  55;              5529600 bytes;    17001955.000 ns;         310.167 MiB/s
                  56;              5529600 bytes;    18039767.000 ns;         292.323 MiB/s
                  57;              5529600 bytes;    17639587.000 ns;         298.955 MiB/s
                  58;              5529600 bytes;    17675516.000 ns;         298.347 MiB/s
                  59;              5529600 bytes;    17577161.000 ns;         300.016 MiB/s
                  60;              5529600 bytes;    16860158.000 ns;         312.775 MiB/s
                  61;              5529600 bytes;    17258665.000 ns;         305.553 MiB/s
                  62;              5529600 bytes;    17660367.000 ns;         298.603 MiB/s
                  63;              5529600 bytes;    17442411.000 ns;         302.334 MiB/s
                  64;              5529600 bytes;    17199273.000 ns;         306.608 MiB/s
                  65;              5529600 bytes;    17365617.000 ns;         303.671 MiB/s
                  66;              5529600 bytes;    17608056.000 ns;         299.490 MiB/s
                  67;              5529600 bytes;    17220699.000 ns;         306.227 MiB/s
                  68;              5529600 bytes;    18275212.000 ns;         288.557 MiB/s
                  69;              5529600 bytes;    17425045.000 ns;         302.636 MiB/s
                  70;              5529600 bytes;    17595874.000 ns;         299.697 MiB/s
                  71;              5529600 bytes;    17449049.000 ns;         302.219 MiB/s
                  72;              5529600 bytes;    17584623.000 ns;         299.889 MiB/s
                  73;              5529600 bytes;    17341147.000 ns;         304.100 MiB/s
                  74;              5529600 bytes;    18115443.000 ns;         291.102 MiB/s
                  75;              5529600 bytes;    18695170.000 ns;         282.075 MiB/s
                  76;              5529600 bytes;    16898392.000 ns;         312.067 MiB/s
                  77;              5529600 bytes;    16721830.000 ns;         315.362 MiB/s
                  78;              5529600 bytes;    17275202.000 ns;         305.261 MiB/s
                  79;              5529600 bytes;    17779258.000 ns;         296.606 MiB/s
                  80;              5529600 bytes;    18567487.000 ns;         284.015 MiB/s
                  81;              5529600 bytes;    18332770.000 ns;         287.651 MiB/s
                  82;              5529600 bytes;    18383428.000 ns;         286.858 MiB/s
                  83;              5529600 bytes;    18917065.000 ns;         278.766 MiB/s
                  84;              5529600 bytes;    16870386.000 ns;         312.585 MiB/s
                  85;              5529600 bytes;    17438590.000 ns;         302.400 MiB/s
                  86;              5529600 bytes;    17439796.000 ns;         302.380 MiB/s
                  87;              5529600 bytes;    17752730.000 ns;         297.049 MiB/s
                  88;              5529600 bytes;    16844387.000 ns;         313.068 MiB/s
                  89;              5529600 bytes;    16627438.000 ns;         317.153 MiB/s
                  90;              5529600 bytes;    18198362.000 ns;         289.775 MiB/s
                  91;              5529600 bytes;    17217213.000 ns;         306.289 MiB/s
                  92;              5529600 bytes;    19837029.000 ns;         265.838 MiB/s
                  93;              5529600 bytes;    18801811.000 ns;         280.475 MiB/s
                  94;              5529600 bytes;    16757748.000 ns;         314.687 MiB/s
                  95;              5529600 bytes;    18066314.000 ns;         291.893 MiB/s
                  96;              5529600 bytes;    16560440.000 ns;         318.436 MiB/s
                  97;              5529600 bytes;    17710234.000 ns;         297.762 MiB/s
                  98;              5529600 bytes;    21283532.000 ns;         247.771 MiB/s
                  99;              5529600 bytes;    16555792.000 ns;         318.525 MiB/s
                 100;              5529600 bytes;    17752816.000 ns;         297.048 MiB/s
                 101;              5529600 bytes;    16839039.000 ns;         313.167 MiB/s
                 102;              5529600 bytes;    16877167.000 ns;         312.460 MiB/s
                 103;              5529600 bytes;    18239335.000 ns;         289.124 MiB/s
                 104;              5529600 bytes;    17421310.000 ns;         302.700 MiB/s
                 105;              5529600 bytes;    18522913.000 ns;         284.698 MiB/s
                 106;              5529600 bytes;    18060988.000 ns;         291.979 MiB/s
                 107;              5529600 bytes;    17006577.000 ns;         310.082 MiB/s
                 108;              5529600 bytes;    17499251.000 ns;         301.352 MiB/s
                 109;              5529600 bytes;    16968586.000 ns;         310.776 MiB/s
                 110;              5529600 bytes;    17288299.000 ns;         305.029 MiB/s
                 111;              5529600 bytes;    19041568.000 ns;         276.943 MiB/s
                 112;              5529600 bytes;    17765467.000 ns;         296.836 MiB/s
                 113;              5529600 bytes;    17016445.000 ns;         309.902 MiB/s
                 114;              5529600 bytes;    18164504.000 ns;         290.316 MiB/s
                 115;              5529600 bytes;    16696046.000 ns;         315.849 MiB/s
                 116;              5529600 bytes;    18158086.000 ns;         290.418 MiB/s
                 117;              5529600 bytes;    17745958.000 ns;         297.163 MiB/s
                 118;              5529600 bytes;    16515303.000 ns;         319.306 MiB/s
                 119;              5529600 bytes;    17568272.000 ns;         300.168 MiB/s
                 120;              5529600 bytes;    18441636.000 ns;         285.953 MiB/s
                 121;              5529600 bytes;    17906501.000 ns;         294.498 MiB/s
                 122;              5529600 bytes;    17312081.000 ns;         304.610 MiB/s
                 123;              5529600 bytes;    22237346.000 ns;         237.143 MiB/s
                 124;              5529600 bytes;    18045191.000 ns;         292.235 MiB/s
                 125;              5529600 bytes;    16791073.000 ns;         314.062 MiB/s
                 126;              5529600 bytes;    17285112.000 ns;         305.086 MiB/s
                 127;              5529600 bytes;    17800287.000 ns;         296.256 MiB/s
                 128;              5529600 bytes;    17650727.000 ns;         298.766 MiB/s
                 129;              5529600 bytes;    16751151.000 ns;         314.810 MiB/s
                 130;              5529600 bytes;    16740065.000 ns;         315.019 MiB/s
                 131;              5529600 bytes;    17307388.000 ns;         304.693 MiB/s
                 132;              5529600 bytes;    16717558.000 ns;         315.443 MiB/s
                 133;              5529600 bytes;    17696778.000 ns;         297.989 MiB/s
                 134;              5529600 bytes;    17285470.000 ns;         305.079 MiB/s
                 135;              5529600 bytes;    17268528.000 ns;         305.379 MiB/s
                 136;              5529600 bytes;    16740977.000 ns;         315.002 MiB/s
                 137;              5529600 bytes;    17602355.000 ns;         299.587 MiB/s
                 138;              5529600 bytes;    16629976.000 ns;         317.104 MiB/s
                 139;              5529600 bytes;    17844964.000 ns;         295.514 MiB/s
                 140;              5529600 bytes;    16988049.000 ns;         310.420 MiB/s
                 141;              5529600 bytes;    18265985.000 ns;         288.703 MiB/s
                 142;              5529600 bytes;    16694698.000 ns;         315.875 MiB/s
                 143;              5529600 bytes;    18586916.000 ns;         283.718 MiB/s
                 144;              5529600 bytes;    17954082.000 ns;         293.718 MiB/s
                 145;              5529600 bytes;    19063073.000 ns;         276.631 MiB/s
                 146;              5529600 bytes;    16991548.000 ns;         310.357 MiB/s
                 147;              5529600 bytes;    17409515.000 ns;         302.905 MiB/s
                 148;              5529600 bytes;    16809436.000 ns;         313.719 MiB/s
                 149;              5529600 bytes;    17262984.000 ns;         305.477 MiB/s
                 150;              5529600 bytes;    18004823.000 ns;         292.890 MiB/s
                 151;              5529600 bytes;    17181628.000 ns;         306.923 MiB/s
                 152;              5529600 bytes;    17678560.000 ns;         298.296 MiB/s
                 153;              5529600 bytes;    16484891.000 ns;         319.895 MiB/s
                 154;              5529600 bytes;    21921962.000 ns;         240.555 MiB/s
                 155;              5529600 bytes;    17721390.000 ns;         297.575 MiB/s
                 156;              5529600 bytes;    16840299.000 ns;         313.144 MiB/s
                 157;              5529600 bytes;    17953760.000 ns;         293.723 MiB/s
                 158;              5529600 bytes;    16867851.000 ns;         312.632 MiB/s
                 159;              5529600 bytes;    17114101.000 ns;         308.134 MiB/s
                 160;              5529600 bytes;    17525042.000 ns;         300.909 MiB/s
                 161;              5529600 bytes;    17343424.000 ns;         304.060 MiB/s
                 162;              5529600 bytes;    20036523.000 ns;         263.191 MiB/s
                 163;              5529600 bytes;    18905198.000 ns;         278.941 MiB/s
                 164;              5529600 bytes;    18032458.000 ns;         292.441 MiB/s
                 165;              5529600 bytes;    17921713.000 ns;         294.249 MiB/s
                 166;              5529600 bytes;    17273999.000 ns;         305.282 MiB/s
                 167;              5529600 bytes;    17701157.000 ns;         297.915 MiB/s
                 168;              5529600 bytes;    16577507.000 ns;         318.108 MiB/s
                 169;              5529600 bytes;    18713056.000 ns;         281.805 MiB/s
                 170;              5529600 bytes;    18272385.000 ns;         288.601 MiB/s
                 171;              5529600 bytes;    17709671.000 ns;         297.772 MiB/s
                 172;              5529600 bytes;    16672775.000 ns;         316.290 MiB/s
                 173;              5529600 bytes;    17583011.000 ns;         299.917 MiB/s
                 174;              5529600 bytes;    16796342.000 ns;         313.963 MiB/s
                 175;              5529600 bytes;    18275845.000 ns;         288.547 MiB/s
                 176;              5529600 bytes;    16651521.000 ns;         316.694 MiB/s
                 177;              5529600 bytes;    17110599.000 ns;         308.197 MiB/s
                 178;              5529600 bytes;    16307582.000 ns;         323.373 MiB/s
                 179;              5529600 bytes;    17123739.000 ns;         307.961 MiB/s
                 180;              5529600 bytes;    17648614.000 ns;         298.802 MiB/s
                 181;              5529600 bytes;    16754202.000 ns;         314.753 MiB/s
                 182;              5529600 bytes;    18282246.000 ns;         288.446 MiB/s
