                   0;              5529600 bytes;    66631000.000 ns;          79.144 MiB/s
                   1;              5529600 bytes;    66471138.000 ns;          79.334 MiB/s
                   2;              5529600 bytes;    66807701.000 ns;          78.935 MiB/s
                   3;              5529600 bytes;    66702088.000 ns;          79.060 MiB/s
                   4;              5529600 bytes;    67448124.000 ns;          78.185 MiB/s
                   5;              5529600 bytes;    67426589.000 ns;          78.210 MiB/s
                   6;              5529600 bytes;    67882225.000 ns;          77.685 MiB/s
                   7;              5529600 bytes;    67828192.000 ns;          77.747 MiB/s
                   8;              5529600 bytes;    68262691.000 ns;          77.252 MiB/s
                   9;              5529600 bytes;    68250904.000 ns;          77.265 MiB/s
                  10;              5529600 bytes;    68675065.000 ns;          76.788 MiB/s
                  11;              5529600 bytes;    68536859.000 ns;          76.943 MiB/s
                  12;              5529600 bytes;    68805186.000 ns;          76.643 MiB/s
                  13;              5529600 bytes;    68711198.000 ns;          76.748 MiB/s
                  14;              5529600 bytes;    68998275.000 ns;          76.429 MiB/s
                  15;              5529600 bytes;    68857504.000 ns;          76.585 MiB/s
                  16;              5529600 bytes;    69047271.000 ns;          76.374 MiB/s
                  17;              5529600 bytes;    69020177.000 ns;          76.404 MiB/s
                  18;              5529600 bytes;    69130590.000 ns;          76.282 MiB/s
                  19;              5529600 bytes;    69142315.000 ns;          76.269 MiB/s
                  20;              5529600 bytes;    69225268.000 ns;          76.178 MiB/s
                  21;              5529600 bytes;    69284006.000 ns;          76.113 MiB/s
                  22;              5529600 bytes;    69271697.000 ns;          76.127 MiB/s
                  23;              5529600 bytes;    69368786.000 ns;          76.020 MiB/s
                  24;              5529600 bytes;    69372645.000 ns;          76.016 MiB/s
                  25;              5529600 bytes;    69393706.000 ns;          75.993 MiB/s
                  26;              5529600 bytes;    69415712.000 ns;          75.969 MiB/s
                  27;              5529600 bytes;    69392186.000 ns;          75.995 MiB/s
                  28;              5529600 bytes;    69403671.000 ns;          75.982 MiB/s
                  29;              5529600 bytes;    69434778.000 ns;          75.948 MiB/s
                  30;              5529600 bytes;    69520611.000 ns;          75.854 MiB/s
                  31;              5529600 bytes;    69476294.000 ns;          75.903 MiB/s
                  32;              5529600 bytes;    69478130.000 ns;          75.901 MiB/s
                  33;              5529600 bytes;    69566704.000 ns;          75.804 MiB/s
                  34;              5529600 bytes;    69614579.000 ns;          75.752 MiB/s
                  35;              5529600 bytes;    69696934.000 ns;          75.662 MiB/s
                  36;              5529600 bytes;    69720202.000 ns;          75.637 MiB/s
                  37;              5529600 bytes;    69698078.000 ns;          75.661 MiB/s
                  38;              5529600 bytes;    69666383.000 ns;          75.696 MiB/s
                  39;              5529600 bytes;    69680302.000 ns;          75.680 MiB/s
                  40;              5529600 bytes;    69806584.000 ns;          75.544 MiB/s
                  41;              5529600 bytes;    69802997.000 ns;          75.547 MiB/s
                  42;              5529600 bytes;    69740914.000 ns;          75.615 MiB/s
                  43;              5529600 bytes;    69772204.000 ns;          75.581 MiB/s
                  44;              5529600 bytes;    69778201.000 ns;          75.574 MiB/s
                  45;              5529600 bytes;    69816147.000 ns;          75.533 MiB/s
                  46;              5529600 bytes;    69788651.000 ns;          75.563 MiB/s
                  47;              5529600 bytes;    69814496.000 ns;          75.535 MiB/s
                  48;              5529600 bytes;    69839394.000 ns;          75.508 MiB/s
                  49;              5529600 bytes;    69883037.000 ns;          75.461 MiB/s
                  50;              5529600 bytes;    69773550.000 ns;          75.579 MiB/s
                  51;              5529600 bytes;    69675535.000 ns;          75.686 MiB/s
                  52;              5529600 bytes;    69708091.000 ns;          75.650 MiB/s
                  53;              5529600 bytes;    69712397.000 ns;          75.646 MiB/s
                  54;              5529600 bytes;    69695656.000 ns;          75.664 MiB/s
                  55;              5529600 bytes;    69781010.000 ns;          75.571 MiB/s
                  56;              5529600 bytes;    69782379.000 ns;          75.570 MiB/s
                  57;              5529600 bytes;    69811393.000 ns;          75.538 MiB/s
                  58;              5529600 bytes;    69829311.000 ns;          75.519 MiB/s
                  59;              5529600 bytes;    69839999.000 ns;          75.507 MiB/s
                  60;              5529600 bytes;    69923055.000 ns;          75.418 MiB/s
                  61;              5529600 bytes;    69897949.000 ns;          75.445 MiB/s
                  62;              5529600 bytes;    69925551.000 ns;          75.415 MiB/s
                  63;              5529600 bytes;    69856767.000 ns;          75.489 MiB/s
                  64;              5529600 bytes;    69843021.000 ns;          75.504 MiB/s
                  65;              5529600 bytes;    69839190.000 ns;          75.508 MiB/s
                  66;              5529600 bytes;    69868470.000 ns;          75.477 MiB/s
