                   0;              5529600 bytes;     8014620.000 ns;         657.977 MiB/s
                   1;              5529600 bytes;     7013760.000 ns;         751.870 MiB/s
                   2;              5529600 bytes;     7072094.000 ns;         745.668 MiB/s
                   3;              5529600 bytes;     7288723.000 ns;         723.506 MiB/s
                   4;              5529600 bytes;     7312086.000 ns;         721.195 MiB/s
                   5;              5529600 bytes;     7141238.000 ns;         738.449 MiB/s
                   6;              5529600 bytes;     7210519.000 ns;         731.353 MiB/s
                   7;              5529600 bytes;     7190979.000 ns;         733.341 MiB/s
                   8;              5529600 bytes;     7403734.000 ns;         712.267 MiB/s
                   9;              5529600 bytes;     7392097.000 ns;         713.389 MiB/s
                  10;              5529600 bytes;     7323230.000 ns;         720.097 MiB/s
                  11;              5529600 bytes;     7314510.000 ns;         720.956 MiB/s
                  12;              5529600 bytes;     7356746.000 ns;         716.817 MiB/s
                  13;              5529600 bytes;     7493422.000 ns;         703.742 MiB/s
                  14;              5529600 bytes;     7512145.000 ns;         701.988 MiB/s
                  15;              5529600 bytes;     7364937.000 ns;         716.019 MiB/s
                  16;              5529600 bytes;     7382160.000 ns;         714.349 MiB/s
                  17;              5529600 bytes;     7406023.000 ns;         712.047 MiB/s
                  18;              5529600 bytes;     7560744.000 ns;         697.476 MiB/s
                  19;              5529600 bytes;     7570088.000 ns;         696.615 MiB/s
                  20;              5529600 bytes;     7581073.000 ns;         695.606 MiB/s
                  21;              5529600 bytes;     7396518.000 ns;         712.962 MiB/s
                  22;              5529600 bytes;     7456668.000 ns;         707.211 MiB/s
                  23;              5529600 bytes;     7431472.000 ns;         709.609 MiB/s
                  24;              5529600 bytes;     7546090.000 ns;         698.830 MiB/s
                  25;              5529600 bytes;     7564152.000 ns;         697.162 MiB/s
                  26;              5529600 bytes;     7440736.000 ns;         708.725 MiB/s
                  27;              5529600 bytes;     7453794.000 ns;         707.484 MiB/s
                  28;              5529600 bytes;     7476897.000 ns;         705.298 MiB/s
                  29;              5529600 bytes;     7588613.000 ns;         694.915 MiB/s
                  30;              5529600 bytes;     7588526.000 ns;         694.923 MiB/s
