                   0;              5529600 bytes;    27099004.000 ns;         194.599 MiB/s
                   1;              5529600 bytes;    26596187.000 ns;         198.278 MiB/s
                   2;              5529600 bytes;    26631168.000 ns;         198.018 MiB/s
                   3;              5529600 bytes;    26565066.000 ns;         198.510 MiB/s
                   4;              5529600 bytes;    26800552.000 ns;         196.766 MiB/s
                   5;              5529600 bytes;    26755973.000 ns;         197.094 MiB/s
                   6;              5529600 bytes;    26894318.000 ns;         196.080 MiB/s
                   7;              5529600 bytes;    26841564.000 ns;         196.465 MiB/s
                   8;              5529600 bytes;    27000886.000 ns;         195.306 MiB/s
                   9;              5529600 bytes;    26972047.000 ns;         195.515 MiB/s
                  10;              5529600 bytes;    27072727.000 ns;         194.788 MiB/s
                  11;              5529600 bytes;    27035399.000 ns;         195.057 MiB/s
                  12;              5529600 bytes;    27115110.000 ns;         194.483 MiB/s
                  13;              5529600 bytes;    27118468.000 ns;         194.459 MiB/s
                  14;              5529600 bytes;    27204299.000 ns;         193.846 MiB/s
                  15;              5529600 bytes;    27177995.000 ns;         194.033 MiB/s
                  16;              5529600 bytes;    27236399.000 ns;         193.617 MiB/s
                  17;              5529600 bytes;    27211986.000 ns;         193.791 MiB/s
                  18;              5529600 bytes;    27217976.000 ns;         193.748 MiB/s
                  19;              5529600 bytes;    27207453.000 ns;         193.823 MiB/s
                  20;              5529600 bytes;    27288570.000 ns;         193.247 MiB/s
                  21;              5529600 bytes;    27281633.000 ns;         193.296 MiB/s
                  22;              5529600 bytes;    27286982.000 ns;         193.258 MiB/s
                  23;              5529600 bytes;    27419943.000 ns;         192.321 MiB/s
                  24;              5529600 bytes;    27288201.000 ns;         193.250 MiB/s
                  25;              5529600 bytes;    27322899.000 ns;         193.004 MiB/s
                  26;              5529600 bytes;    27287966.000 ns;         193.251 MiB/s
                  27;              5529600 bytes;    27281959.000 ns;         193.294 MiB/s
                  28;              5529600 bytes;    27363466.000 ns;         192.718 MiB/s
                  29;              5529600 bytes;    27332287.000 ns;         192.938 MiB/s
                  30;              5529600 bytes;    27360641.000 ns;         192.738 MiB/s
                  31;              5529600 bytes;    27333537.000 ns;         192.929 MiB/s
                  32;              5529600 bytes;    27314285.000 ns;         193.065 MiB/s
                  33;              5529600 bytes;    27345722.000 ns;         192.843 MiB/s
                  34;              5529600 bytes;    27344611.000 ns;         192.851 MiB/s
                  35;              5529600 bytes;    27356774.000 ns;         192.765 MiB/s
                  36;              5529600 bytes;    27390987.000 ns;         192.525 MiB/s
                  37;              5529600 bytes;    27387081.000 ns;         192.552 MiB/s
                  38;              5529600 bytes;    27361630.000 ns;         192.731 MiB/s
                  39;              5529600 bytes;    27386060.000 ns;         192.559 MiB/s
                  40;              5529600 bytes;    27364251.000 ns;         192.713 MiB/s
                  41;              5529600 bytes;    27404841.000 ns;         192.427 MiB/s
                  42;              5529600 bytes;    27356952.000 ns;         192.764 MiB/s
                  43;              5529600 bytes;    27400226.000 ns;         192.460 MiB/s
                  44;              5529600 bytes;    27414653.000 ns;         192.358 MiB/s
                  45;              5529600 bytes;    27398903.000 ns;         192.469 MiB/s
                  46;              5529600 bytes;    27407734.000 ns;         192.407 MiB/s
                  47;              5529600 bytes;    27394019.000 ns;         192.503 MiB/s
                  48;              5529600 bytes;    27398228.000 ns;         192.474 MiB/s
                  49;              5529600 bytes;    27372928.000 ns;         192.652 MiB/s
                  50;              5529600 bytes;    27411308.000 ns;         192.382 MiB/s
                  51;              5529600 bytes;    27418301.000 ns;         192.333 MiB/s
                  52;              5529600 bytes;    27396844.000 ns;         192.483 MiB/s
                  53;              5529600 bytes;    27426639.000 ns;         192.274 MiB/s
                  54;              5529600 bytes;    27392007.000 ns;         192.517 MiB/s
                  55;              5529600 bytes;    27403491.000 ns;         192.437 MiB/s
                  56;              5529600 bytes;    27487769.000 ns;         191.847 MiB/s
                  57;              5529600 bytes;    27426597.000 ns;         192.275 MiB/s
                  58;              5529600 bytes;    27436674.000 ns;         192.204 MiB/s
                  59;              5529600 bytes;    27425094.000 ns;         192.285 MiB/s
                  60;              5529600 bytes;    27452653.000 ns;         192.092 MiB/s
                  61;              5529600 bytes;    27444502.000 ns;         192.149 MiB/s
                  62;              5529600 bytes;    27405683.000 ns;         192.421 MiB/s
                  63;              5529600 bytes;    27440512.000 ns;         192.177 MiB/s
                  64;              5529600 bytes;    27437486.000 ns;         192.198 MiB/s
