                   0;              5529600 bytes;    24809733.000 ns;         212.555 MiB/s
                   1;              5529600 bytes;    24359117.000 ns;         216.487 MiB/s
                   2;              5529600 bytes;    22478232.000 ns;         234.602 MiB/s
                   3;              5529600 bytes;    19069709.000 ns;         276.535 MiB/s
                   4;              5529600 bytes;    19414218.000 ns;         271.628 MiB/s
                   5;              5529600 bytes;    19327390.000 ns;         272.848 MiB/s
                   6;              5529600 bytes;    20806412.000 ns;         253.453 MiB/s
                   7;              5529600 bytes;    20853134.000 ns;         252.885 MiB/s
                   8;              5529600 bytes;    25083453.000 ns;         210.236 MiB/s
                   9;              5529600 bytes;    22062558.000 ns;         239.022 MiB/s
                  10;              5529600 bytes;    21169591.000 ns;         249.104 MiB/s
                  11;              5529600 bytes;    21902432.000 ns;         240.769 MiB/s
                  12;              5529600 bytes;    25365055.000 ns;         207.902 MiB/s
                  13;              5529600 bytes;    18194189.000 ns;         289.842 MiB/s
                  14;              5529600 bytes;    25505373.000 ns;         206.758 MiB/s
                  15;              5529600 bytes;    22622383.000 ns;         233.107 MiB/s
                  16;              5529600 bytes;    25328969.000 ns;         208.198 MiB/s
                  17;              5529600 bytes;    25399152.000 ns;         207.623 MiB/s
                  18;              5529600 bytes;    25408538.000 ns;         207.546 MiB/s
                  19;              5529600 bytes;    20568638.000 ns;         256.382 MiB/s
                  20;              5529600 bytes;    25443728.000 ns;         207.259 MiB/s
                  21;              5529600 bytes;    25416967.000 ns;         207.477 MiB/s
                  22;              5529600 bytes;    21539599.000 ns;         244.825 MiB/s
                  23;              5529600 bytes;    20465157.000 ns;         257.679 MiB/s
                  24;              5529600 bytes;    20045810.000 ns;         263.069 MiB/s
                  25;              5529600 bytes;    25459351.000 ns;         207.132 MiB/s
                  26;              5529600 bytes;    23264273.000 ns;         226.675 MiB/s
                  27;              5529600 bytes;    25469612.000 ns;         207.048 MiB/s
                  28;              5529600 bytes;    25666941.000 ns;         205.456 MiB/s
                  29;              5529600 bytes;    25053145.000 ns;         210.490 MiB/s
                  30;              5529600 bytes;    25535521.000 ns;         206.514 MiB/s
                  31;              5529600 bytes;    22360494.000 ns;         235.837 MiB/s
                  32;              5529600 bytes;    21288756.000 ns;         247.710 MiB/s
                  33;              5529600 bytes;    18638404.000 ns;         282.934 MiB/s
                  34;              5529600 bytes;    21831414.000 ns;         241.553 MiB/s
                  35;              5529600 bytes;    23616248.000 ns;         223.297 MiB/s
                  36;              5529600 bytes;    19826463.000 ns;         265.980 MiB/s
                  37;              5529600 bytes;    19692357.000 ns;         267.791 MiB/s
                  38;              5529600 bytes;    21687296.000 ns;         243.158 MiB/s
                  39;              5529600 bytes;    22002842.000 ns;         239.671 MiB/s
                  40;              5529600 bytes;    20919750.000 ns;         252.079 MiB/s
                  41;              5529600 bytes;    20004372.000 ns;         263.614 MiB/s
                  42;              5529600 bytes;    18732012.000 ns;         281.520 MiB/s
                  43;              5529600 bytes;    20948297.000 ns;         251.736 MiB/s
                  44;              5529600 bytes;    22626120.000 ns;         233.069 MiB/s
                  45;              5529600 bytes;    21555568.000 ns;         244.644 MiB/s
                  46;              5529600 bytes;    20277393.000 ns;         260.065 MiB/s
                  47;              5529600 bytes;    18717495.000 ns;         281.738 MiB/s
                  48;              5529600 bytes;    20464497.000 ns;         257.687 MiB/s
                  49;              5529600 bytes;    19976467.000 ns;         263.982 MiB/s
                  50;              5529600 bytes;    20359001.000 ns;         259.022 MiB/s
                  51;              5529600 bytes;    20104377.000 ns;         262.303 MiB/s
                  52;              5529600 bytes;    21649258.000 ns;         243.585 MiB/s
                  53;              5529600 bytes;    18309017.000 ns;         288.024 MiB/s
                  54;              5529600 bytes;    23206824.000 ns;         227.237 MiB/s
                  55;              5529600 bytes;    21074831.000 ns;         250.224 MiB/s
                  56;              5529600 bytes;    20745840.000 ns;         254.193 MiB/s
                  57;              5529600 bytes;    19604918.000 ns;         268.985 MiB/s
                  58;              5529600 bytes;    20649625.000 ns;         255.377 MiB/s
                  59;              5529600 bytes;    20667034.000 ns;         255.162 MiB/s
                  60;              5529600 bytes;    21240688.000 ns;         248.271 MiB/s
                  61;              5529600 bytes;    22670466.000 ns;         232.613 MiB/s
                  62;              5529600 bytes;    21471432.000 ns;         245.603 MiB/s
                  63;              5529600 bytes;    19861175.000 ns;         265.515 MiB/s
                  64;              5529600 bytes;    19137038.000 ns;         275.562 MiB/s
                  65;              5529600 bytes;    21640512.000 ns;         243.684 MiB/s
                  66;              5529600 bytes;    21551512.000 ns;         244.690 MiB/s
                  67;              5529600 bytes;    21569190.000 ns;         244.489 MiB/s
                  68;              5529600 bytes;    22495422.000 ns;         234.423 MiB/s
                  69;              5529600 bytes;    21734944.000 ns;         242.625 MiB/s
                  70;              5529600 bytes;    23299491.000 ns;         226.333 MiB/s
                  71;              5529600 bytes;    18673798.000 ns;         282.398 MiB/s
                  72;              5529600 bytes;    21081871.000 ns;         250.141 MiB/s
                  73;              5529600 bytes;    22046391.000 ns;         239.197 MiB/s
                  74;              5529600 bytes;    21195294.000 ns;         248.802 MiB/s
                  75;              5529600 bytes;    24832652.000 ns;         212.359 MiB/s
                  76;              5529600 bytes;    21073357.000 ns;         250.242 MiB/s
                  77;              5529600 bytes;    16311036.000 ns;         323.305 MiB/s
                  78;              5529600 bytes;    18356880.000 ns;         287.273 MiB/s
                  79;              5529600 bytes;    17807811.000 ns;         296.131 MiB/s
                  80;              5529600 bytes;    21186956.000 ns;         248.900 MiB/s
                  81;              5529600 bytes;    20148612.000 ns;         261.727 MiB/s
                  82;              5529600 bytes;    20105017.000 ns;         262.295 MiB/s
                  83;              5529600 bytes;    20898877.000 ns;         252.331 MiB/s
                  84;              5529600 bytes;    20759797.000 ns;         254.022 MiB/s
                  85;              5529600 bytes;    19608402.000 ns;         268.938 MiB/s
                  86;              5529600 bytes;    19634411.000 ns;         268.581 MiB/s
                  87;              5529600 bytes;    19079510.000 ns;         276.393 MiB/s
                  88;              5529600 bytes;    19324597.000 ns;         272.887 MiB/s
                  89;              5529600 bytes;    21102663.000 ns;         249.894 MiB/s
                  90;              5529600 bytes;    20668011.000 ns;         255.150 MiB/s
                  91;              5529600 bytes;    22057203.000 ns;         239.080 MiB/s
                  92;              5529600 bytes;    21515626.000 ns;         245.098 MiB/s
                  93;              5529600 bytes;    17015416.000 ns;         309.921 MiB/s
                  94;              5529600 bytes;    18526998.000 ns;         284.635 MiB/s
                  95;              5529600 bytes;    19139637.000 ns;         275.524 MiB/s
                  96;              5529600 bytes;    20431602.000 ns;         258.102 MiB/s
                  97;              5529600 bytes;    21169368.000 ns;         249.107 MiB/s
                  98;              5529600 bytes;    17575577.000 ns;         300.043 MiB/s
                  99;              5529600 bytes;    18870363.000 ns;         279.456 MiB/s
                 100;              5529600 bytes;    21255855.000 ns;         248.093 MiB/s
                 101;              5529600 bytes;    20246314.000 ns;         260.464 MiB/s
                 102;              5529600 bytes;    19863411.000 ns;         265.485 MiB/s
                 103;              5529600 bytes;    21545355.000 ns;         244.760 MiB/s
                 104;              5529600 bytes;    16275486.000 ns;         324.011 MiB/s
                 105;              5529600 bytes;    18197648.000 ns;         289.787 MiB/s
                 106;              5529600 bytes;    21320980.000 ns;         247.336 MiB/s
                 107;              5529600 bytes;    21727701.000 ns;         242.706 MiB/s
                 108;              5529600 bytes;    20819346.000 ns;         253.295 MiB/s
                 109;              5529600 bytes;    20694191.000 ns;         254.827 MiB/s
                 110;              5529600 bytes;    18456485.000 ns;         285.723 MiB/s
                 111;              5529600 bytes;    21364159.000 ns;         246.836 MiB/s
                 112;              5529600 bytes;    20968924.000 ns;         251.488 MiB/s
                 113;              5529600 bytes;    21995869.000 ns;         239.747 MiB/s
                 114;              5529600 bytes;    23751449.000 ns;         222.026 MiB/s
                 115;              5529600 bytes;    22341115.000 ns;         236.042 MiB/s
                 116;              5529600 bytes;    26259445.000 ns;         200.821 MiB/s
                 117;              5529600 bytes;    22678512.000 ns;         232.530 MiB/s
                 118;              5529600 bytes;    19713713.000 ns;         267.501 MiB/s
                 119;              5529600 bytes;    22959967.000 ns;         229.680 MiB/s
                 120;              5529600 bytes;    17829715.000 ns;         295.767 MiB/s
                 121;              5529600 bytes;    21404813.000 ns;         246.367 MiB/s
                 122;              5529600 bytes;    21758895.000 ns;         242.358 MiB/s
                 123;              5529600 bytes;    21895183.000 ns;         240.849 MiB/s
                 124;              5529600 bytes;    19157238.000 ns;         275.271 MiB/s
                 125;              5529600 bytes;    19714425.000 ns;         267.491 MiB/s
                 126;              5529600 bytes;    18512950.000 ns;         284.851 MiB/s
                 127;              5529600 bytes;    22386375.000 ns;         235.565 MiB/s
                 128;              5529600 bytes;    20467098.000 ns;         257.654 MiB/s
                 129;              5529600 bytes;    20291838.000 ns;         259.880 MiB/s
                 130;              5529600 bytes;    20939950.000 ns;         251.836 MiB/s
                 131;              5529600 bytes;    21247209.000 ns;         248.194 MiB/s
                 132;              5529600 bytes;    21773826.000 ns;         242.192 MiB/s
                 133;              5529600 bytes;    18372852.000 ns;         287.023 MiB/s
                 134;              5529600 bytes;    19961321.000 ns;         264.183 MiB/s
                 135;              5529600 bytes;    20993398.000 ns;         251.195 MiB/s
                 136;              5529600 bytes;    20969698.000 ns;         251.479 MiB/s
                 137;              5529600 bytes;    18979856.000 ns;         277.844 MiB/s
                 138;              5529600 bytes;    18893174.000 ns;         279.119 MiB/s
                 139;              5529600 bytes;    21632762.000 ns;         243.771 MiB/s
                 140;              5529600 bytes;    19056874.000 ns;         276.721 MiB/s
                 141;              5529600 bytes;    18967747.000 ns;         278.021 MiB/s
                 142;              5529600 bytes;    19826070.000 ns;         265.985 MiB/s
                 143;              5529600 bytes;    21370498.000 ns;         246.762 MiB/s
                 144;              5529600 bytes;    17258332.000 ns;         305.559 MiB/s
                 145;              5529600 bytes;    19944763.000 ns;         264.402 MiB/s
                 146;              5529600 bytes;    18850979.000 ns;         279.743 MiB/s
                 147;              5529600 bytes;    18856718.000 ns;         279.658 MiB/s
                 148;              5529600 bytes;    20050132.000 ns;         263.013 MiB/s
                 149;              5529600 bytes;    21781915.000 ns;         242.102 MiB/s
                 150;              5529600 bytes;    20289489.000 ns;         259.910 MiB/s
                 151;              5529600 bytes;    19660389.000 ns;         268.227 MiB/s
                 152;              5529600 bytes;    18470356.000 ns;         285.508 MiB/s
                 153;              5529600 bytes;    17839336.000 ns;         295.607 MiB/s
                 154;              5529600 bytes;    25913918.000 ns;         203.498 MiB/s
                 155;              5529600 bytes;    21621423.000 ns;         243.899 MiB/s
                 156;              5529600 bytes;    20476006.000 ns;         257.542 MiB/s
                 157;              5529600 bytes;    19318086.000 ns;         272.979 MiB/s
                 158;              5529600 bytes;    20162103.000 ns;         261.552 MiB/s
                 159;              5529600 bytes;    25252108.000 ns;         208.832 MiB/s
                 160;              5529600 bytes;    20757800.000 ns;         254.046 MiB/s
                 161;              5529600 bytes;    26395821.000 ns;         199.783 MiB/s
                 162;              5529600 bytes;    25730415.000 ns;         204.950 MiB/s
                 163;              5529600 bytes;    25920692.000 ns;         203.445 MiB/s
                 164;              5529600 bytes;    23981338.000 ns;         219.898 MiB/s
                 165;              5529600 bytes;    20930857.000 ns;         251.946 MiB/s
                 166;              5529600 bytes;    24090384.000 ns;         218.902 MiB/s
                 167;              5529600 bytes;    21062463.000 ns;         250.371 MiB/s
                 168;              5529600 bytes;    18956480.000 ns;         278.187 MiB/s
                 169;              5529600 bytes;    21615584.000 ns;         243.965 MiB/s
                 170;              5529600 bytes;    21344408.000 ns;         247.064 MiB/s
                 171;              5529600 bytes;    18149695.000 ns;         290.552 MiB/s
                 172;              5529600 bytes;    20672959.000 ns;         255.089 MiB/s
                 173;              5529600 bytes;    20206086.000 ns;         260.983 MiB/s
                 174;              5529600 bytes;    23043824.000 ns;         228.844 MiB/s
                 175;              5529600 bytes;    20908608.000 ns;         252.214 MiB/s
                 176;              5529600 bytes;    20099689.000 ns;         262.364 MiB/s
